"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-06-01 00:00","2019","06","01","00:00","11.8","","6.7","","71","","36","","5","","16.1","","93.22","","","","","","NA"
"2019-06-01 01:00","2019","06","01","01:00","11.7","","6.2","","69","","","","0","","16.1","","93.18","","","","","","NA"
"2019-06-01 02:00","2019","06","01","02:00","11.3","","6.5","","72","","35","","8","","16.1","","93.17","","","","","","NA"
"2019-06-01 03:00","2019","06","01","03:00","10.2","","6.4","","77","","32","","4","","16.1","","93.17","","","","","","NA"
"2019-06-01 04:00","2019","06","01","04:00","10.9","","6.7","","75","","","M","4","","16.1","","93.15","","","","","","NA"
"2019-06-01 05:00","2019","06","01","05:00","7.7","","5.5","","86","","","M","5","","16.1","","93.15","","","","","","NA"
"2019-06-01 06:00","2019","06","01","06:00","10.5","","7.8","","83","","","","0","","16.1","","93.15","","","","","","NA"
"2019-06-01 07:00","2019","06","01","07:00","13.4","","8.1","","70","","20","","5","","16.1","","93.13","","","","","","NA"
"2019-06-01 08:00","2019","06","01","08:00","16.6","","9.5","","62","","","M","4","","16.1","","93.11","","","","","","NA"
"2019-06-01 09:00","2019","06","01","09:00","20.4","","9.5","","49","","18","","17","","16.1","","93.06","","","","","","NA"
"2019-06-01 10:00","2019","06","01","10:00","22.4","","10.0","","45","","22","","21","","16.1","","93.02","","","","","","NA"
"2019-06-01 11:00","2019","06","01","11:00","23.7","","9.1","","39","","20","","17","","16.1","","92.98","","25","","","","NA"
"2019-06-01 12:00","2019","06","01","12:00","24.6","","8.0","","34","","20","","17","","14.5","","92.93","","25","","","","NA"
"2019-06-01 13:00","2019","06","01","13:00","26.0","","8.4","","32","","20","","15","","11.3","","92.87","","27","","","","NA"
"2019-06-01 14:00","2019","06","01","14:00","26.3","","7.7","","30","","16","","11","","6.4","","92.80","","27","","","","Haze"
"2019-06-01 15:00","2019","06","01","15:00","27.2","","7.9","","29","","20","","15","","8.1","","92.73","","28","","","","Haze"
"2019-06-01 16:00","2019","06","01","16:00","27.4","","8.3","","30","","23","","15","","6.4","","92.65","","28","","","","Haze"
"2019-06-01 17:00","2019","06","01","17:00","27.3","","7.0","","27","","21","","15","","6.4","","92.62","","27","","","","Haze"
"2019-06-01 18:00","2019","06","01","18:00","27.0","","6.1","","26","","18","","11","","4.8","","92.56","","27","","","","Haze"
"2019-06-01 19:00","2019","06","01","19:00","25.2","","7.6","","32","","16","","8","","4.8","","92.52","","25","","","","Haze"
"2019-06-01 20:00","2019","06","01","20:00","22.3","","7.9","","39","","14","","8","","4.8","","92.50","","","","","","Haze"
"2019-06-01 21:00","2019","06","01","21:00","20.2","","9.4","","49","","17","","11","","9.7","","92.53","","","","","","Haze"
"2019-06-01 22:00","2019","06","01","22:00","19.2","","8.9","","51","","21","","9","","12.9","","92.51","","","","","","NA"
"2019-06-01 23:00","2019","06","01","23:00","20.7","","8.8","","46","","18","","18","","12.9","","92.49","","","","","","NA"
"2019-06-02 00:00","2019","06","02","00:00","20.2","","9.0","","48","","19","","18","","12.9","","92.49","","","","","","NA"
"2019-06-02 01:00","2019","06","02","01:00","16.4","","9.2","","62","","21","","9","","11.3","","92.48","","","","","","NA"
"2019-06-02 02:00","2019","06","02","02:00","13.8","","9.3","","74","","22","","8","","9.7","","92.44","","","","","","Haze"
"2019-06-02 03:00","2019","06","02","03:00","13.1","","9.2","","77","","25","","8","","9.7","","92.42","","","","","","Haze"
"2019-06-02 04:00","2019","06","02","04:00","12.6","","8.7","","77","","23","","9","","9.7","","92.43","","","","","","Haze"
"2019-06-02 05:00","2019","06","02","05:00","12.6","","9.2","","79","","24","","13","","9.7","","92.44","","","","","","Haze"
"2019-06-02 06:00","2019","06","02","06:00","15.6","","9.9","","69","","24","","17","","11.3","","92.45","","","","","","NA"
"2019-06-02 07:00","2019","06","02","07:00","19.5","","9.8","","53","","21","","24","","16.1","","92.45","","","","","","NA"
"2019-06-02 08:00","2019","06","02","08:00","20.7","","10.0","","50","","22","","24","","16.1","","92.47","","","","","","NA"
"2019-06-02 09:00","2019","06","02","09:00","23.3","","9.8","","42","","21","","21","","16.1","","92.45","","","","","","NA"
"2019-06-02 10:00","2019","06","02","10:00","25.4","","8.7","","34","","25","","11","","16.1","","92.42","","26","","","","NA"
"2019-06-02 11:00","2019","06","02","11:00","27.7","","5.7","","24","","","M","5","","16.1","","92.38","","27","","","","NA"
"2019-06-02 12:00","2019","06","02","12:00","29.4","","5.1","","21","","","M","4","","16.1","","92.35","","29","","","","NA"
"2019-06-02 13:00","2019","06","02","13:00","30.8","","3.7","","18","","22","","17","","16.1","","92.33","","30","","","","NA"
"2019-06-02 14:00","2019","06","02","14:00","30.9","","2.6","","16","","25","","15","","16.1","","92.30","","29","","","","NA"
"2019-06-02 15:00","2019","06","02","15:00","30.2","","2.2","","16","","","M","4","","16.1","","92.28","","29","","","","NA"
