trip_num,driver_num,num_occupants,pre_trip,trip_date,start_time,lighting,road_conditions,odometer,start_outside_temp,start_inside_temp,start_departure,range_start,drive_mode,start_notes,post_trip,finish_outside_temp,finish_inside_temp,blue_score,trip_distance,average_speed,trip_duration,economy,range_remaining,brake_mode,climate_control,road_style,reset_meters,finish_notes,Video file name,charge_location,charge_date,charge_time,plugin_temp,unplug_temp,charge_departure,power_usage,cost,charge_notes,charge_id,date_time_local,dataset,location,year,month,day,date,time_lst,date_time_utc,temp_c,temp_flag,dew_point_temp_c,dew_point_temp_flag,rel_hum,rel_hum_flag,wind_dir_10s_deg,wind_dir_flag,wind_spd_km_h,wind_spd_flag,visibility_km,visibility_flag,stn_press_kpa,stn_press_flag,hmdx,hmdx_flag,wind_chill,wind_chill_flag,weather
220,1,1,Y,2019-02-06,06:50:00,Dark,Clear,3225,-23.5,-20.5,Y,84,N,NA,Y,-24,3,79,18,51,21,30.9,73,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,2019-02-06T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,6,2019-02-06,00:00:00,2019-02-06T07:00:00Z,-23.2,NA,-26.8,NA,73,NA,6,NA,8,NA,16.1,NA,93.87,NA,NA,NA,-30,NA,NA
221,1,1,Y,2019-02-06,16:15:00,Sunny,Clear,3243,-16.5,-8.5,N,80,N,NA,Y,-21.5,4,91,4,28,9,45.7,72,D1,Y,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,2019-02-06T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,6,2019-02-06,09:00:00,2019-02-06T16:00:00Z,-27.7,NA,-30.7,NA,76,NA,36,NA,9,NA,16.1,NA,94.16,NA,NA,NA,-36,NA,NA
222,1,1,Y,2019-02-06,16:32:00,Sunny,Clear,3247,-21,2,N,65,N,NA,Y,-21.5,7.5,96,1,17,5,54.9,62,D1,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,2019-02-06T17:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,6,2019-02-06,10:00:00,2019-02-06T17:00:00Z,-26.6,NA,-29.9,NA,74,NA,35,NA,11,NA,16.1,NA,94.21,NA,NA,NA,-36,NA,NA
223,1,1,Y,2019-02-06,18:04:00,Dim,Clear,3249,-20.5,-11,N,61,N,NA,Y,-30.5,7.5,82,20,58,21,29,48,D1,Y,Highway,Y,Went to eco mode at 52km range. The car felt cool by the  end of the trip.,NA,1home,2019-02-06,18:27:00,-30.5,-35,Y,14,NA,NA,55,2019-02-06T18:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,6,2019-02-06,11:00:00,2019-02-06T18:00:00Z,-23.8,NA,-28.4,NA,67,NA,9,NA,8,NA,16.1,NA,94.24,NA,NA,NA,-31,NA,NA
224,1,1,Y,2019-02-07,06:53:00,Dark,Clear,3269,-35,NA,Y,74,N,Temp sensor is showing an error,Y,-35,3,77,17,58,18,32.5,57,D1,Y,Highway,Y,NA,NA,1college,2019-02-07,07:12:00,-35,-18,N,10.3,NA,NA,56,2019-02-07T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,7,2019-02-07,00:00:00,2019-02-07T07:00:00Z,-33.7,NA,-37.4,NA,70,NA,16,NA,4,NA,16.1,NA,94.38,NA,NA,NA,-39,NA,NA
225,1,1,Y,2019-02-07,16:36:00,Sunny,Clear,3287,-18,-14,N,96,N,NA,Y,-22.5,18,79,17,49,21,33.2,70,D1,Y,Highway,Y,NA,NA,1home,2019-02-07,17:00:00,-22.5,-23,Y,15.5,NA,NA,57,2019-02-07T17:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,7,2019-02-07,10:00:00,2019-02-07T17:00:00Z,-32,NA,-35.7,NA,71,NA,25,NA,4,NA,16.1,NA,94.29,NA,NA,NA,-37,NA,NA
226,1,1,Y,2019-02-08,06:42:00,Dark,Clear,3304,-23,-22,Y,95,N,NA,Y,-23,11,94,17,49,21,28.8,87,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2019-02-08T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,8,2019-02-08,00:00:00,2019-02-08T07:00:00Z,-28.4,NA,-31.6,NA,75,NA,NA,NA,0,NA,16.1,NA,93.88,NA,NA,NA,NA,NA,NA
227,1,1,Y,2019-02-08,16:30:00,Dim,Clear,3322,-23,-15,N,99,N,NA,Y,-19,12.5,86,17,49,21,33.4,74,D1,Y,Highway,Y,NA,NA,1home,2019-02-08,16:52:00,-19,-23,N,14.8,NA,NA,58,2019-02-08T17:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,8,2019-02-08,10:00:00,2019-02-08T17:00:00Z,-23.1,NA,-26.8,NA,72,NA,34,NA,8,NA,16.1,NA,94.2,NA,NA,NA,-30,NA,NA
228,1,1,Y,2019-02-09,10:38:00,Dim,Clear,3336,-24,-24,N,101,N,NA,Y,-23.5,2,72,14,64,NA,29.3,92,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2019-02-09T11:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,9,2019-02-09,04:00:00,2019-02-09T11:00:00Z,-23.9,NA,-27.6,NA,72,NA,35,NA,15,NA,8.1,NA,95.04,NA,NA,NA,-34,NA,Snow
229,1,1,Y,2019-02-09,11:50:00,Dim,Clear,3353,-23.5,-20,N,92,N,NA,Y,-23.5,-2,88,0,16,3,60.3,90,0,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2019-02-09T12:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,9,2019-02-09,05:00:00,2019-02-09T12:00:00Z,-24.1,NA,-27.8,NA,72,NA,35,NA,15,NA,4.8,NA,95.06,NA,NA,NA,-34,NA,Snow
231,1,1,Y,2019-02-11,06:48:00,Dark,Partly covered,3368,-24.5,-24,Y,101,N,NA,Y,-29.5,0,73,14,61,13,31.2,90,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2019-02-11T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,11,2019-02-11,00:00:00,2019-02-11T07:00:00Z,-22.2,NA,-25.9,NA,73,NA,31,NA,8,NA,16.1,NA,92.87,NA,NA,NA,-29,NA,Snow
232,1,1,Y,2019-02-11,07:35:00,Dim,Partly covered,3382,-27.5,-4,N,89,N,NA,Y,-27.5,5,84,3,27,8,54.3,83,D1,Y,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2019-02-11T08:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,11,2019-02-11,01:00:00,2019-02-11T08:00:00Z,-22.1,NA,-25.4,NA,75,NA,27,NA,4,NA,2.8,NA,92.84,NA,NA,NA,-26,NA,Snow
233,1,1,Y,2019-02-11,08:32:00,Sunny,Partly covered,3386,-28,-12.5,N,82,N,NA,Y,-26,4,97,3,25,8,39.9,77,D1,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2019-02-11T09:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,11,2019-02-11,02:00:00,2019-02-11T09:00:00Z,-21.9,NA,-25.1,NA,76,NA,NA,NA,0,NA,2.8,NA,92.84,NA,NA,NA,NA,NA,Snow
234,1,1,Y,2019-02-11,09:56:00,Sunny,Partly covered,3390,-25.5,-7,N,78,N,NA,Y,-24,3,94,3,21,8,48.8,70,D1,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2019-02-11T10:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,11,2019-02-11,03:00:00,2019-02-11T10:00:00Z,-21.8,NA,-25.2,NA,74,NA,NA,NA,0,NA,16.1,NA,92.82,NA,NA,NA,NA,NA,Snow
235,1,1,Y,2019-02-11,16:10:00,Sunny,Partly covered,3393,-16,-8.5,N,70,N,NA,Y,-22.5,18.5,73,19,60,19,33.3,53,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2019-02-11T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,11,2019-02-11,09:00:00,2019-02-11T16:00:00Z,-30.2,NA,-33.5,NA,74,NA,23,NA,11,NA,16.1,NA,92.94,NA,NA,NA,-40,NA,NA
236,1,1,Y,2019-02-11,17:54:00,Dim,Partly covered,3413,-22.5,-7,N,47,E,When started this trip it automatically started in eco mode,Y,-28,2,82,9,59,9,24.8,43,D1,Y,Highway,Y,NA,NA,1home,2019-02-11,18:04:00,-28,-25.5,Y,14.2,NA,NA,60,2019-02-11T18:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,11,2019-02-11,11:00:00,2019-02-11T18:00:00Z,-24.5,NA,-27.8,NA,75,NA,21,NA,13,NA,16.1,NA,93.04,NA,NA,NA,-34,NA,NA
237,1,1,Y,2019-02-12,06:41:00,Dark,Partly covered,3422,-25.5,-24,Y,72,N,NA,Y,-26.5,5,81,17,50,21,32,58,D1,Y,Highway,Y,NA,NA,1college,2019-02-12,07:02:00,-26.5,-18,N,7.9,NA,NA,61,2019-02-12T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,12,2019-02-12,00:00:00,2019-02-12T07:00:00Z,-28.4,NA,-31.7,NA,74,NA,21,NA,9,NA,16.1,NA,93.57,NA,NA,NA,-37,NA,NA
238,1,1,Y,2019-02-12,14:16:00,Dim,Partly covered,3440,18,-14,N,88,N,NA,Y,-19.5,7.5,91,9,45,12,31.7,75,D1,Y,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,2019-02-12T14:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,12,2019-02-12,07:00:00,2019-02-12T14:00:00Z,-27.3,NA,-30.8,NA,73,NA,14,NA,5,NA,4.8,NA,93.53,NA,NA,NA,-33,NA,Snow
239,1,1,Y,2019-02-12,15:42:00,Dim,Partly covered,3449,-19,-4,N,70,N,NA,Y,-18.5,19,86,9,38,15,34.9,59,D1,Y,City/Highway,Y,NA,NA,1college,2019-02-12,15:59:00,-18.5,-18.5,N,6.2,NA,NA,62,2019-02-12T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,12,2019-02-12,09:00:00,2019-02-12T16:00:00Z,-23.8,NA,-27.1,NA,75,NA,22,NA,4,NA,3.2,NA,93.54,NA,NA,NA,-28,NA,Snow
241,1,1,Y,2019-02-13,06:43:00,Dark,Partly covered,3476,-19.5,-14,Y,79,N,NA,Y,-19,14,81,17,54,19,29.7,64,D1,Y,Highway,Y,NA,NA,1college,2019-02-13,07:03:00,-19,-17.5,N,7.3,NA,NA,64,2019-02-13T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,13,2019-02-13,00:00:00,2019-02-13T07:00:00Z,-19.9,NA,-23.1,NA,76,NA,7,NA,5,NA,16.1,NA,92.75,NA,NA,NA,-24,NA,Snow
242,1,1,Y,2019-02-13,13:49:00,Dim,Partly covered,3493,-11.5,-5,N,90,N,NA,Y,-17.5,11,92,4,29,10,39.2,80,D1,Y,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,2019-02-13T14:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,13,2019-02-13,07:00:00,2019-02-13T14:00:00Z,-19.6,NA,-23.1,NA,74,NA,3,NA,13,NA,16.1,NA,92.36,NA,NA,NA,-28,NA,Snow
243,1,1,Y,2019-02-13,14:19:00,Dim,Partly covered,3498,-16,10.5,N,72,N,NA,Y,-18,14.5,81,4,37,8,33.4,67,D1,Y,City/Highway,Y,With temperatures this cold the level 1 charger is not keeping up unless plugged in at work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,2019-02-13T14:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,13,2019-02-13,07:00:00,2019-02-13T14:00:00Z,-19.6,NA,-23.1,NA,74,NA,3,NA,13,NA,16.1,NA,92.36,NA,NA,NA,-28,NA,Snow
244,1,1,Y,2019-02-13,15:49:00,Dim,Partly covered,3503,-17,3.5,N,74,N,NA,Y,-18,26,95,11,26,26,37.7,57,D1,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,2019-02-13T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,13,2019-02-13,09:00:00,2019-02-13T16:00:00Z,-19.6,NA,-23.6,NA,71,NA,7,NA,8,NA,16.1,NA,92.35,NA,NA,NA,-26,NA,Snow
245,1,1,Y,2019-02-13,18:25:00,Dark,Partly covered,3515,-17.5,-8,N,53,N,NA,Y,-24.5,11,70,18,63,17,31.5,33,D1,Y,Highway,Y,Went to eco mode at 52km range. I swithched it back to nomal mode,NA,1home,2019-02-13,18:43:00,-24.5,-29.5,Y,13.3,NA,NA,65,2019-02-13T18:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,13,2019-02-13,11:00:00,2019-02-13T18:00:00Z,-19.3,NA,-23.8,NA,68,NA,6,NA,9,NA,16.1,NA,92.3,NA,NA,NA,-26,NA,NA
246,1,1,Y,2019-02-14,06:47:00,Dark,Partly covered,3533,-29.5,-26.5,Y,58,N,NA,Y,-28.5,2,83,17,55,19,30.3,47,D1,Y,Highway,Y,Felt cool in the car this morning could be that the drive was -33.5 for most of the drive,NA,1college,2019-02-14,07:05:00,-28.5,-28.5,N,0.7,NA,NA,66,2019-02-14T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,14,2019-02-14,00:00:00,2019-02-14T07:00:00Z,-29.8,NA,-32.7,NA,76,NA,22,NA,9,NA,16.1,NA,92.74,NA,NA,NA,-38,NA,NA
247,1,1,Y,2019-02-14,07:49:00,Sunny,Partly covered,3551,-28.5,-15,N,53,N,NA,Y,-27,-1,93,3,27,8,47.6,42,D1,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,2019-02-14T08:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,14,2019-02-14,01:00:00,2019-02-14T08:00:00Z,-29.7,NA,-32.5,NA,77,NA,22,NA,9,NA,16.1,NA,92.81,NA,NA,NA,-38,NA,NA
248,1,1,Y,2019-02-14,09:22:00,Sunny,Partly covered,3554,-26.5,-9.5,N,46,N,NA,Y,-26.5,-5.5,88,2,27,5,42.6,40,D1,Y,City,Y,I have been switching eco mode off when it switches back to nomal all the time now,NA,1college,2019-02-14,09:29:00,-26.5,-26,N,2.1,NA,NA,67,2019-02-14T09:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,14,2019-02-14,02:00:00,2019-02-14T09:00:00Z,-28.7,NA,-31.4,NA,78,NA,20,NA,8,NA,16.1,NA,92.87,NA,NA,NA,-36,NA,NA
250,1,1,Y,2019-02-14,11:53:00,Sunny,Partly covered,3560,-16.5,4,N,54,N,NA,Y,-17,16.5,95,3,23,8,42,51,D1,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,2019-02-14T12:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,14,2019-02-14,05:00:00,2019-02-14T12:00:00Z,-30.7,NA,-33.8,NA,75,NA,17,NA,8,NA,16.1,NA,92.9,NA,NA,NA,-39,NA,NA
251,1,1,Y,2019-02-14,13:19:00,Sunny,Partly covered,3563,-15,10,N,54,N,NA,Y,-17,21,82,5,37,8,34.2,46,D1,Y,City/Highway,Y,NA,NA,1college,2019-02-14,13:29:00,-17,-15.5,N,3,NA,NA,69,2019-02-14T13:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,14,2019-02-14,06:00:00,2019-02-14T13:00:00Z,-30.5,NA,-33.6,NA,75,NA,15,NA,8,NA,16.1,NA,92.99,NA,NA,NA,-39,NA,NA
252,1,1,Y,2019-02-14,16:14:00,Dark,Partly covered,3568,-15.5,0.5,N,57,N,NA,Y,-17,16,97,4,18,16,46.2,42,D1,Y,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,2019-02-14T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,14,2019-02-14,09:00:00,2019-02-14T16:00:00Z,-29.1,NA,-32.2,NA,75,NA,17,NA,8,NA,16.1,NA,93.14,NA,NA,NA,-37,NA,NA
253,1,1,Y,2019-02-14,16:39:00,Dark,Partly covered,3573,-15,8,N,42,N,NA,Y,-20,20,80,15,43,21,29.9,28,D1,Y,Highway,Y,NA,NA,1home,2019-02-14,16:56:00,-20,-23,Y,15.3,NA,NA,70,2019-02-14T17:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,14,2019-02-14,10:00:00,2019-02-14T17:00:00Z,-27.4,NA,-30.6,NA,75,NA,NA,M,4,NA,16.1,NA,93.13,NA,NA,NA,-32,NA,NA
254,1,1,Y,2019-02-15,06:45:00,Dark,Partly covered,3589,-23,-19,Y,62,N,NA,Y,-22.5,13,87,17,59,17,28,51,D1,Y,Highway,Y,NA,NA,1college,2019-02-15,07:04:00,-22.5,-11,Y,11.1,NA,NA,71,2019-02-15T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,15,2019-02-15,00:00:00,2019-02-15T07:00:00Z,-25.6,NA,-28.5,NA,77,NA,27,NA,11,NA,16.1,NA,92.67,NA,NA,NA,-34,NA,NA
255,1,1,Y,2019-02-15,17:11:00,Dim,Snowy,3606,-11,-5.5,Y,93,N,NA,Y,-15,7,90,17,46,22,27.1,74,D1,Y,Highway,Y,NA,NA,1home,2019-02-15,17:38:00,-15,-20.5,N,17,NA,NA,72,2019-02-15T17:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,15,2019-02-15,10:00:00,2019-02-15T17:00:00Z,-20.7,NA,-23.6,NA,78,NA,NA,NA,0,NA,0.8,NA,92.52,NA,NA,NA,NA,NA,Moderate Snow
256,1,1,Y,2019-02-17,10:51:00,Sunny,Snowy,3624,-20.5,-21,N,106,N,NA,Y,-20,5,76,15,55,16,30.9,92,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,2019-02-17T11:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,17,2019-02-17,04:00:00,2019-02-17T11:00:00Z,-29.2,NA,-32.2,NA,76,NA,19,NA,8,NA,16.1,NA,93.86,NA,NA,NA,-37,NA,NA
257,1,1,Y,2019-02-17,12:29:00,Sunny,Snowy,3639,-16,4.5,N,101,N,NA,Y,-17.5,20.5,82,15,47,19,34,73,D1,Y,Highway,Y,NA,NA,1home,2019-02-17,12:53:00,-17.5,-17,N,14.2,NA,NA,73,2019-02-17T12:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,17,2019-02-17,05:00:00,2019-02-17T12:00:00Z,-29.2,NA,-32.3,NA,75,NA,20,NA,8,NA,16.1,NA,93.95,NA,NA,NA,-37,NA,NA
258,1,1,Y,2019-02-19,06:41:00,Dim,Partly covered,3654,-17,-26,N,111,N,NA,Y,-16.5,9,85,17,56,18,28.5,97,D1,Y,Highway,Y,NA,NA,1college,2019-02-19,07:00:00,-16.5,-9.5,Y,7.4,NA,NA,74,2019-02-19T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,19,2019-02-19,00:00:00,2019-02-19T07:00:00Z,-17.5,NA,-22.8,NA,64,NA,19,NA,28,NA,16.1,NA,93.26,NA,NA,NA,-29,NA,NA
259,1,1,Y,2019-02-19,17:20:00,Sunny,Partly covered,3672,-9.5,2,N,123,N,NA,Y,-12,16.5,81,17,54,19,24.7,113,D1,Y,Highway,Y,NA,NA,1home,2019-02-19,17:50:00,-12,-29.5,N,6.8,NA,NA,75,2019-02-19T17:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,19,2019-02-19,10:00:00,2019-02-19T17:00:00Z,-12.2,NA,-18.7,NA,59,NA,22,NA,24,NA,16.1,NA,92.66,NA,NA,NA,-21,NA,NA
260,1,1,Y,2019-02-25,06:30:00,Dark,Partly covered,3689,-29.5,-31.5,N,104,N,NA,Y,-31.5,7,86,17,43,24,35.4,85,D1,Y,Highway,Y,Most of the trip the outside gauge -35,NA,1college,2019-02-25,06:55:00,-31.5,-30.5,N,0.1,NA,NA,76,2019-02-25T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,25,2019-02-25,00:00:00,2019-02-25T07:00:00Z,-28.5,NA,-31.4,NA,77,NA,7,NA,8,NA,16.1,NA,94.33,NA,NA,NA,-36,NA,NA
262,1,1,Y,2019-02-25,09:17:00,Sunny,Partly covered,3710,-30,-11,N,80,N,NA,Y,-29,4.5,82,3,22,9,55.3,71,D1,Y,City,Y,NA,NA,1college,2019-02-25,09:28:00,-29,-28.5,Y,7.4,NA,NA,77,2019-02-25T09:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,25,2019-02-25,02:00:00,2019-02-25T09:00:00Z,-30.8,NA,-33.6,NA,77,NA,NA,NA,0,NA,16.1,NA,94.47,NA,NA,NA,NA,NA,NA
263,1,1,Y,2019-02-25,16:15:00,Dim,Partly covered,3714,-19.5,-5,Y,98,N,NA,Y,-23.5,19,83,20,34,35,35.9,67,D1,Y,City/Highway,Y,NA,NA,1home,2019-02-25,16:55:00,-23,-23.5,Y,15.4,NA,NA,78,2019-02-25T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,25,2019-02-25,09:00:00,2019-02-25T16:00:00Z,-31.6,NA,-35,NA,73,NA,18,NA,5,NA,16.1,NA,94.5,NA,NA,NA,-37,NA,NA
264,1,1,Y,2019-02-26,06:51:00,Dim,Snowy,3734,-23,-14.6,Y,100,N,NA,Y,-23,5,78,17,50,21,31.7,85,D1,Y,Highway,Y,NA,NA,1college,2019-02-26,07:14:00,-23,-19.5,Y,9.5,NA,NA,79,2019-02-26T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,26,2019-02-26,00:00:00,2019-02-26T07:00:00Z,-22.4,NA,-25.6,NA,76,NA,1,NA,11,NA,2.4,NA,94.13,NA,NA,NA,-31,NA,Snow
265,1,1,Y,2019-02-26,16:18:00,Sunny,Partly covered,3752,-19.5,-5.5,Y,106,N,NA,Y,-21.5,15.5,84,17,41,25,34,88,D1,Y,Highway,Y,NA,NA,1home,2019-02-26,16:43:00,-21.5,-22.5,Y,8.5,NA,NA,80,2019-02-26T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,26,2019-02-26,09:00:00,2019-02-26T16:00:00Z,-24.7,NA,-27.9,NA,75,NA,29,NA,5,NA,11.3,NA,94.37,NA,NA,NA,-30,NA,Snow
266,1,1,Y,2019-02-27,06:35:00,Dim,Partly covered,3769,-22.5,-12,Y,107,N,NA,Y,-23.5,5,86,17,48,22,30.1,92,D1,Y,Highway,Y,NA,NA,1college,2019-02-27,06:59:00,-23.5,-9.5,N,4.7,NA,NA,81,2019-02-27T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,27,2019-02-27,00:00:00,2019-02-27T07:00:00Z,-25.8,NA,-29.6,NA,71,NA,22,NA,17,NA,16.1,NA,94.35,NA,NA,NA,-37,NA,NA
267,1,1,Y,2019-02-27,14:40:00,Sunny,Partly covered,3787,-9.5,6,N,125,N,Driving to install computer and sensors for the IT program,Y,-9.5,5,96,0,11,3,45.1,122,D1,Y,City,Y,From now on will be using the IT inside temp sensor and continue with Vehicle outside sensor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,2019-02-27T15:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,27,2019-02-27,08:00:00,2019-02-27T15:00:00Z,-21.5,NA,-27.5,NA,59,NA,22,NA,22,NA,16.1,NA,94.05,NA,NA,NA,-33,NA,NA
268,1,1,Y,2019-02-27,16:23:00,Sunny,Partly covered,3787,1.5,15.5,N,126,N,"Was in the shop to install outside temp, inside temp and humidity and gps",Y,-13.5,19,84,17,38,27,24.8,104,D1,Y,Highway,Y,"Outside temp- underhood by 12v battery, Inside temp and humidity grab handle above dr door",NA,1home,2019-02-27,16:41:00,-13,-12.5,Y,NA,NA,Power glitch causing no recording of power consumption,82,2019-02-27T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,27,2019-02-27,09:00:00,2019-02-27T16:00:00Z,-20.4,NA,-27,NA,57,NA,22,NA,21,NA,16.1,NA,93.98,NA,NA,NA,-31,NA,NA
269,1,1,Y,2019-02-28,06:58:00,Dim,Clear,3805,-12.5,6,Y,126,N,NA,Y,-14.5,11.5,82,17,58,18,25,108,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,2019-02-28T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,28,2019-02-28,00:00:00,2019-02-28T07:00:00Z,-12.6,NA,-17.2,NA,69,NA,23,NA,17,NA,16.1,NA,93.43,NA,NA,NA,-20,NA,NA
270,1,1,Y,2019-02-28,16:05:00,Dim,Clear,3822,-5.5,11,N,113,N,NA,Y,-8,17.5,78,17,55,19,21.7,104,D1,Y,Highway,Y,NA,NA,1home,2019-02-28,16:27:00,-8,-12,Y,11.3,NA,NA,83,2019-02-28T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,2,28,2019-02-28,09:00:00,2019-02-28T16:00:00Z,-13.5,NA,-16.9,NA,76,NA,21,NA,9,NA,16.1,NA,93.27,NA,NA,NA,-19,NA,NA
271,1,1,Y,2019-03-01,06:45:00,Dim,Clear,3840,-12,5,Y,132,N,NA,Y,-14.5,12,84,17,46,22,27.3,107,D1,Y,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,2019-03-01T07:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,3,1,2019-03-01,00:00:00,2019-03-01T07:00:00Z,-11.4,NA,-13.4,NA,85,NA,NA,NA,0,NA,16.1,NA,93.17,NA,NA,NA,NA,NA,NA
272,1,1,Y,2019-03-01,16:25:00,Dim,Clear,3857,-15.5,-6,N,100,N,NA,Y,-22.5,16.5,78,21,34,38,38.3,60,0,Y,City/Highway,Y,includes waiting in drive though,NA,1home,2019-03-01,17:05:00,-22.5,-26.5,Y,8.2,NA,NA,84,2019-03-01T16:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,3,1,2019-03-01,09:00:00,2019-03-01T16:00:00Z,-17.1,NA,-20.2,NA,77,NA,36,NA,18,NA,11.3,NA,94.18,NA,NA,NA,-26,NA,Snow
275,1,1,Y,2019-03-04,09:10:00,Sunny,Clear,3914,-24,2.5,N,67,N,NA,Y,-23,13,78,17,63,16,27.6,55,D1,Y,Highway,Y,NA,NA,1college,2019-03-04,09:27:00,-23,-4,N,6.3,NA,NA,85,2019-03-04T09:00:00Z,ec_climate_hourly,MEDICINE HAT AB 48949,2019,3,4,2019-03-04,02:00:00,2019-03-04T09:00:00Z,-27.4,NA,-31.4,NA,70,NA,21,NA,13,NA,16.1,NA,94.68,NA,NA,NA,-37,NA,NA
