trip_num,driver_num,num_occupants,pre_trip,trip_date,start_time,lighting,road_conditions,odometer,start_outside_temp,start_inside_temp,start_departure,range_start,drive_mode,start_notes,post_trip,finish_outside_temp,finish_inside_temp,blue_score,trip_distance,average_speed,trip_duration,economy,range_remaining,brake_mode,climate_control,road_style,reset_meters,finish_notes,charge_location,charge_date,charge_time,plugin_temp,unplug_temp,charge_departure,power_usage,cost,charge_notes
594,7,1,Yes,2019-06-05,08:02:00,Sunny,Clear,6831,12.5,13.2,No,274,Eco Plus?+,NA,Yes,13.5,19.5,95,6,23,17,11,282,D2,No,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595,7,1,Yes,2019-06-05,11:44:00,Sunny,Clear,6838,23,51.7,No,253,Eco Plus,NA,Yes,21,39,80,7,20,22,15.2,245,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,7,3,Yes,2019-06-05,12:42:00,Sunny,Clear,6845,24,38.6,No,245,Eco PlusN,NA,Yes,23.5,32.5,82,6,25,15,11.9,241,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,7,1,Yes,2019-06-05,16:02:00,Sunny,Clear,6852,27.5,52.8,No,222,Eco Plus,NA,Yes,27.5,42,96,4,22,12,9.6,234,D1,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598,7,2,Yes,2019-06-05,16:16:00,Sunny,Clear,6836,27,41.6,No,226,Eco PlusN,NA,Yes,26.5,37.5,93,3,22,8,20.7,214,D2,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599,7,1,Yes,2019-06-06,11:58:00,Sunny,Clear,6859,19.5,26,No,274,Eco PlusN,NA,Yes,20,27,86,18,40,27,11,266,0,No,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,7,1,Yes,2019-06-06,12:58:00,Sunny,Clear,6878,22,28.9,No,267,Eco PlusN,NA,Yes,21,NA,86,3,26,9,17.4,230,0,No,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601,7,2,Yes,2019-06-07,08:02:00,Sunny,Clear,6882,11.5,12.6,No,273,Eco PlusN,NA,Yes,12.5,16,94,6,30,13,11.6,268,D1,No,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,7,1,Yes,2019-06-07,11:46:00,Sunny,Clear,6888,16.5,42.7,No,268,Eco Plus,NA,Yes,16.5,31,95,7,16,29,14.1,236,D2,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603,7,1,Yes,2019-06-07,12:38:00,Sunny,Clear,6896,17,30.5,No,254,Eco Plus?+,NA,Yes,18,28.5,94,6,24,16,10,258,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,7,1,Yes,2019-06-07,15:58:00,Sunny,Clear,6903,20.5,43.9,No,251,Eco Plus,NA,Yes,17,35.5,82,5,27,11,8.5,255,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605,7,2,Yes,2019-06-07,16:26:00,Sunny,Clear,6906,19,35.1,No,249,Eco PlusN,NA,Yes,16,30.5,83,3,25,7,21,228,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606,7,2,Yes,2019-06-07,18:12:00,Sunny,Clear,6911,16.5,30.3,No,250,Eco PlusN,NA,Yes,11.5,25.5,91,18,18,60,16.6,234,D1,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,7,2,Yes,2019-06-08,15:48:00,Dim,Clear,6929,14,26.2,No,273,Eco Plus,NA,Yes,14.5,27.5,87,4,31,9,13.8,265,0,No,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608,7,2,Yes,2019-06-08,16:56:00,Dim,Clear,6934,17,29.9,No,263,Eco PlusN,NA,Yes,16,25.5,88,5,32,9,10.4,264,0,No,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609,NA,1,Yes,2019-06-09,12:34:00,Sunny,Clear,6939,17.5,27,No,264,Eco Plus?+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610,NA,1,Yes,2019-06-09,13:14:00,Sunny,Clear,6947,22.5,36.5,No,257,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,NA,2,Yes,2019-06-10,07:58:00,Sunny,Clear,6958,11,11.5,No,274,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
612,NA,1,Yes,2019-06-10,11:45:00,Sunny,Clear,6965,20.5,50.5,No,245,Eco Plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,NA,2,Yes,2019-06-10,12:36:00,Sunny,Clear,6972,21.5,39,No,243,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
614,NA,1,Yes,2019-06-10,16:18:00,Dim,Clear,6979,25,44.5,No,228,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
615,NA,2,Yes,2019-06-11,07:50:00,Dim,Clear,6986,14,15.5,No,246,Eco Plus?+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,NA,1,Yes,2019-06-11,11:45:00,Dim,Clear,6993,20,46.5,No,224,Eco Plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
617,NA,2,Yes,2019-06-11,12:48:00,Dim,Clear,7001,21,35,No,222,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618,NA,1,Yes,2019-06-11,15:20:00,Dim,Clear,7007,24.5,46.5,No,210,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619,NA,2,Yes,2019-06-11,16:03:00,Dim,Clear,7013,24,41.5,No,208,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,NA,2,Yes,2019-06-12,07:51:00,Sunny,Clear,7016,16,15,No,288,Eco Plus?+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,NA,1,Yes,2019-06-12,11:45:00,Sunny,Clear,7023,27.5,58.5,No,276,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622,NA,2,Yes,2019-06-12,12:45:00,Sunny,Clear,7033,26.5,39,No,231,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,NA,1,Yes,2019-06-12,16:01:00,Sunny,Clear,7040,29.5,58,No,217,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,NA,2,Yes,2019-06-13,07:52:00,Sunny,Clear,7047,16.5,16.5,No,283,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,NA,1,Yes,2019-06-13,11:48:00,Sunny,Clear,7054,31.5,58,No,223,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,NA,2,Yes,2019-06-13,12:49:00,Sunny,Clear,7062,29.5,46,No,214,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,NA,1,Yes,2019-06-13,15:56:00,Sunny,Clear,7064,36,58,No,296,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
628,NA,2,Yes,2019-06-14,07:57:00,Sunny,Clear,7077,16.5,17,No,286,Eco Plus?+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629,NA,1,Yes,2019-06-14,11:48:00,Dim,Clear,7083,23.5,44,No,253,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,NA,2,Yes,2019-06-14,12:41:00,Dim,Clear,7091,20.5,32.5,No,256,Eco Plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631,NA,1,Yes,2019-06-14,16:08:00,Dim,Clear,7097,20,38,No,260,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
632,NA,2,Yes,2019-06-14,16:26:00,Dim,Clear,7101,21,34.5,No,269,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633,NA,2,Yes,2019-06-15,17:40:00,Dim,Clear,7105,20,37,No,233,Eco Plus?+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,NA,2,Yes,2019-06-15,18:39:00,Dim,Clear,7111,24,30,No,230,Eco Plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,NA,2,Yes,2019-06-15,19:12:00,Dim,Clear,7117,23,31.5,No,221,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
636,NA,2,Yes,2019-06-15,20:02:00,Dim,Clear,7120,23,30,No,218,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,NA,2,Yes,2019-06-16,10:39:00,Dim,Clear,7133,18,21,No,276,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
638,NA,2,Yes,2019-06-16,12:13:00,Dim,Clear,7142,24.5,44,No,249,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
639,NA,2,Yes,2019-06-17,07:55:00,Sunny,Clear,7150,12.5,12,No,258,Eco PlusN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
