"Station Name","MEDICINE HAT"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","50.02"
"Longitude","-110.72"
"Elevation","716.90"
"Climate Identifier","3034479"
"WMO Identifier","71247"
"TC Identifier","YXH"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-02-01 00:00","2019","02","01","00:00","-1.2","","-3.4","","85","","22","","9","","16.1","","91.78","","","","-4","","NA"
"2019-02-01 01:00","2019","02","01","01:00","0.9","","-2.5","","78","","22","","13","","16.1","","91.78","","","","","","NA"
"2019-02-01 02:00","2019","02","01","02:00","1.0","","-2.4","","78","","24","","5","","16.1","","91.78","","","","","","NA"
"2019-02-01 03:00","2019","02","01","03:00","0.4","","-2.4","","81","","23","","8","","16.1","","91.81","","","","","","NA"
"2019-02-01 04:00","2019","02","01","04:00","0.8","","-2.6","","78","","24","","5","","16.1","","91.84","","","","","","NA"
"2019-02-01 05:00","2019","02","01","05:00","-3.1","","-4.7","","89","","36","","17","","16.1","","91.91","","","","-9","","NA"
"2019-02-01 06:00","2019","02","01","06:00","-3.4","","-4.8","","90","","1","","17","","16.1","","91.99","","","","-9","","NA"
"2019-02-01 07:00","2019","02","01","07:00","-4.1","","-5.4","","91","","2","","17","","8.1","","92.09","","","","-10","","Fog"
"2019-02-01 08:00","2019","02","01","08:00","-6.4","","-8.1","","88","","3","","22","","6.4","","92.15","","","","-14","","Fog"
"2019-02-01 09:00","2019","02","01","09:00","-7.6","","-9.4","","87","","3","","21","","9.7","","92.29","","","","-15","","Fog"
"2019-02-01 10:00","2019","02","01","10:00","-9.3","","-11.6","","83","","1","","22","","12.9","","92.38","","","","-17","","Snow"
"2019-02-01 11:00","2019","02","01","11:00","-10.1","","-12.6","","82","","2","","17","","4.8","","92.43","","","","-17","","Snow"
"2019-02-01 12:00","2019","02","01","12:00","-10.6","","-13.4","","80","","3","","18","","8.1","","92.46","","","","-18","","Snow"
"2019-02-01 13:00","2019","02","01","13:00","-10.9","","-13.8","","79","","2","","17","","9.7","","92.42","","","","-18","","Snow"
"2019-02-01 14:00","2019","02","01","14:00","-11.1","","-14.2","","78","","5","","17","","16.1","","92.38","","","","-19","","Snow"
"2019-02-01 15:00","2019","02","01","15:00","-11.2","","-14.3","","78","","3","","15","","16.1","","92.40","","","","-18","","Snow"
"2019-02-01 16:00","2019","02","01","16:00","-11.6","","-14.7","","78","","6","","17","","16.1","","92.38","","","","-19","","Snow"
"2019-02-01 17:00","2019","02","01","17:00","-12.2","","-15.5","","77","","7","","17","","16.1","","92.36","","","","-20","","NA"
