Trip #,Post-trip,Outside temp ?C,Inside Temp ?C,Blue score,Distance Since start Km,Average Speed Since start Km/hr,Time Since start (includes key on),Economy Since start Kwh/100km,range indicator Km,Brake Mode,Climate control usage,Road style,Reset Meters,"                       Notes: Driving area, warnings, reminders, incedents, issues, feeling"
313,Y,3,20.5,93,3,20,:09,11,168,D1,N,City ,Y,windows down
314,Y,2.5,16,86,2,23,:07,24.9,158,D1,N,City ,Y,windows down
315,Y,0,17.5,77,19,54,:22,17.8,149,D1,Y,Highway,Y,
316,Y,-9.5,16,77,17,61,:17,18.3,156,D1,N,Highway,Y,
317,Y,-1.5,29,95,2,24,:05,18.3,180,D1,N,City ,Y,
318,Y,0,8,84,5,33,:09,23.1,152,D1,Y,City ,Y,
319,Y,4,26,82,19,50,:23,17.6,138,D1,Y,City ,Y,
320,Y,-1.5,19,81,23,52,:26,16.3,171,D1,Y,Highway,Y,
321,Y,0.5,15,87,4,26,:10,21.9,160,D1,Y,City ,Y,
322,Y,2.5,17.5,90,4,26,:10,17,160,D1,Y,City ,Y,
323,Y,9,19,87,16,31,:31,13.4,164,D1,N,City ,Y,
324,Y,8,21.5,86,4,34,:07,12.8,163,D1,N,City ,Y,
325,Y,9.5,23,92,4,30,:09,10.9,165,D1,N,City ,Y,
326,Y,9.5,26.5,86,2,13,:13,12.1,165,D1,N,City ,Y,
327,Y,7.5,26,83,25,39,:38,16.2,127,D1,N,City/Highway,Y,
328,Y,-0.5,18,76,14,61,:14,15.3,191,D1,Y,Highway,Y,car wash
329,Y,-1,18.5,78,5,40,:07,20.3,180,D1,Y,City/Highway,Y,
330,Y,-1,17,91,3,35,:06,14.5,178,D1,Y,City/Highway,Y,
331,Y,9.5,23.5,79,17,57,:18,16.3,170,D1,N,Highway,Y,
332,Y,-1.5,16,80,17,47,:22,15.8,186,D1,Y,Highway,Y,
333,Y,2.5,19,90,3,25,:09,11.9,191,D1,Y,City ,Y,
334,Y,5.5,24.5,93,3,22,:10,18.8,193,D2,N,City ,Y,
335,Y,14.5,,94,1,14,:07,15.6,192,D2,N,City ,Y,Hot inside no temp data
336,Y,16,29.5,80,17,53,:20,15.7,167,0,Y,Highway,Y,
337,Y,-1.5,13,75,14,63,:13,14.1,209,D2,N,Highway,Y,wash 
338,Y,-2,15.5,92,4,16,:18,19.2,184,D2,Y,City/Highway,Y,Demo ride some of trip had 2 passengers
339,Y,8.5,37,94,2,29,:05,15.1,197,D2,N,City ,Y,
340,Y,9,34.5,92,4,21,:11,9,203,D2,N,City ,Y,
341,Y,9.5,31.5,91,4,29,:08,15.7,196,D2,N,City ,Y,
342,Y,15.5,,93,1,11,:07,16.8,195,0,N,City ,Y,Hot inside no temp data
343,,18,23,85,11,21,:44,13,187,,N,City ,,
344,,1,12,63,23,22,:39,21.1,140,D3,Y,City/Highway,,
345,,18,27,91,4.3,18,:15,13.8,139,B,N,City ,N,
346,,,,68,7.5,,,,,B,N,,,
347,,7.5,,65,7.3,38,:23,19.9,103,,,City/Highway,N,
348,,1.5,22,98,4,23,:12,25.3,161,B,Y,City ,N,
349,Y,11,28,85,18,42,:27,15.9,164,D2,Y,City/Highway,Y,
350,Y,2,22,76,17,56,:18,14.8,182,D2,Y,Highway,Y,
351,Y,10.5,22,93,4,23,:12,11.2,188,D2,Y,City ,Y,
352,Y,10.5,22,95,4,32,:07,17,183,D2,Y,City ,Y,
353,Y,14,27,79,17,52,:20,17.5,158,D2,Y,Highway,Y,
354,Y,1.5,20.5,72,14,63,:13,16.5,139,D3,Y,Highway,Y,car wash
355,Y,1.5,18.5,84,3,30,:06,18.9,135,D3,Y,Highway,Y,
356,Y,6,22.5,82,17,52,:20,17.7,114,D3,Y,Highway,Y,
357,Y,-5,15,80,17,57,:18,17.5,168,D3,Y,Highway,Y,
358,Y,7,25,86,20,22,:04,12.8,180,D3,N,City/Highway,Y,demo ride and wash
359,Y,4.5,25,84,3,30,:07,14.4,177,D3,N,Highway,Y,
360,Y,8,16.5,86,3,11,:17,15.2,176,0,N,City ,Y,Media and demo
361,Y,9,24.5,82,3,37,:06,15.8,170,D3,N,Highway,Y,
362,Y,7.5,24.5,79,14,61,:14,16.8,147,D3,N,Highway,Y,
363,Y,-1.5,3,78,17,59,:17,13.9,137,D3,N,Highway,Y,
364,Y,5.5,24.5,87,12,34,:22,12.2,149,D3,N,City/Highway,Y,
365,Y,12.5,27.5,91,12,24,:30,14.5,135,D3,N,City/Highway,Y,
366,Y,11.5,29,96,3,14,:16,14,142,D1,N,City ,Y,
367,Y,13.5,24,92,0,6,:04,18,141,D1,N,City ,Y,
368,Y,12.5,18.5,94,0,9,:04,15.7,140,D1,N,City ,Y,
369,Y,11.5,20,81,0,9,:04,21.4,138,D1,N,City ,Y,
370,N,10.5,24.5,87,4,29,:06,13.9,132,D1,N,City ,Y,
371,N,11,24.5,74,8,41,:13,11.9,122,D1,Y,Highway,Y,
372,N,10.5,24,89,6,29,:14,14.8,112,D1,Y,City ,Y,
373,Y,8,22,84,18,42,:26,14.5,90,D1,Y,City ,Y,
374,N,13.5,22,78,2,15,:09,15.7,194,D1,Y,City ,Y,
375,Y,14.5,28.5,95,1,21,:05,12.6,202,D1,Y,City ,Y,
376,N,15,26.5,91,1,24,:17,13.1,199,D1,Y,City ,Y,
377,Y,15.5,28,78,2,22,:09,13.7,196,D1,Y,City ,Y,
378,N,9.5,27.5,77,2,20,:07,14.6,188,0,Y,City ,Y,
379,Y,9.5,26,77,2,20,:06,15.7,185,0,N,City ,Y,
380,N,10,28,88,5,25,:12,15.2,180,D1,N,Highway,Y,
381,Y,9.5,27,82,3,33,:05,14.6,176,D1,N,Highway,Y,
382,Y,0.5,10.5,83,4,32,:08,19.8,156,D1,Y,Highway,Y,
383,N,9.5,21.5,87,4,19,:13,18,156,D1,Y,City ,Y,
384,Y,9,22,84,3,21,:09,14.1,153,D1,Y,City ,Y,
385,N,0.5,19,86,4,26,:10,26,126,D1,Y,Highway,Y,
386,Y,9.5,30.1,77,4,24,:11,13.3,136,0,N,City ,Y,
387,Y,11.5,28.4,90,5,29,:11,15.7,131,0,N,City ,Y,I did practice shift to driving mode (regen)
388,Y,3,13.5,79,17,53,:19,16.8,112,D3,N,Highway,Y,
389,Y,3.5,9.5,76,17,58,:18,14.6,201,D3,N,Highway,Y,
390,Y,11.5,28.5,81,3,31,:05,14.7,197,D3,N,Highway,Y,
391,Y,9,28,89,3,26,:07,14,196,D3,N,Highway,Y,wash 
392,Y,14,19.5,86,3,10,:23,16.7,194,0,N,City ,Y,media  
393,Y,15,30.5,79,2,26,:06,15.2,190,D3,N,Highway,Y,decals canceled
394,Y,15,29.5,93,0,17,:03,12.2,189,B,N,City ,Y,
395,Y,14.5,28,80,27,48,:34,15.7,153,B,N,City/Highway,Y,
396,Y,3,15,78,17,56,:18,13,209,B,N,Highway,Y,
397,Y,16,27.5,83,18,43,:26,15.7,183,B,N,City/Highway,Y,
398,Y,15,27,97,1,18,:03,11.8,220,B,N,City ,Y,
399,Y,12.5,22,91,9,26,:21,15,211,B,N,City ,Y,Demo drive
400,Y,-0.5,9.5,94,17,49,:21,15.6,199,0,N,Highway,Y,
401,Y,0.5,5,76,0,11,:02,25.9,197,0,N,City ,Y,seawa
402,Y,13.5,27.5,93,0,9,:05,14.5,196,0,N,City ,Y,
403,Y,14,29.5,87,6,29,:14,14.6,190,B,N,City/Highway,Y,
404,Y,13.5,30,76,12,64,:11,15.3,177,B,N,Highway,Y,
405,Y,13,19.5,71,15,63,:14,12.8,214,B,Y,Highway,Y,
406,Y,15.5,23.5,85,8,14,:36,15.5,204,B,N,City/Highway,Y,
407,Y,14.5,25.5,89,1,10,:06,15.8,203,B,N,City ,Y,
408,Y,16.5,27,78,19,54,:22,17,164,B,N,Highway,Y,
409,Y,0,12,76,17,57,:18,14.1,201,B,N,Highway,Y,
410,Y,15,29.5,92,8,23,:22,12.4,202,B,N,City/Highway,Y,
411,Y,15.5,28,85,17,55,:18,15.4,177,B,N,Highway,Y,
412,Y,1.5,13.5,77,17,59,:17,13.8,210,B,N,Highway,Y,
413,Y,5,13.5,88,3,33,:05,15.1,207,B,N,Highway,Y,
414,Y,11,15,74,0,8,:04,21,206,B,N,City ,Y,
415,Y,10.5,17.5,71,5,49,:07,17,194,B,N,City/Highway,Y,
416,Y,12.5,16.5,82,4,35,:08,11.7,194,B,N,City ,Y,
417,Y,13.5,22,79,17,58,:18,14.6,177,B,N,Highway,Y,
418,Y,1.5,11,82,17,49,:21,13.7,214,D1,N,Highway,Y,
419,Y,12.5,29.5,95,4,21,:11,12.9,213,D1,N,City ,Y,
420,Y,13.5,29.5,82,5,23,:14,8.9,214,0,N,City ,Y,
421,Y,14,25.5,80,3,22,:08,22.2,206,0,Y,City ,Y,
422,Y,13,32.5,93,7,32,:13,11.5,205,D1,N,City/Highway,Y,
423,Y,8,15.5,93,6,30,:12,14.1,197,D1,N,City/Highway,Y,
424,Y,7.5,16,90,6,31,:13,12.5,192,0,N,City/Highway,Y,
425,Y,7,16.5,95,24,32,:46,12.6,173,D1,N,City/Highway,Y,
426,Y,3.5,10,94,6,28,:14,12.8,167,D1,N,City ,Y,
427,Y,11,26.5,93,9,23,:25,13.5,147,D2,Y,City ,Y,
428,Y,11.5,28.5,95,6,30,:13,10.8,147,D1,Y,City ,Y,
429,Y,12.5,26,94,4,27,:09,8.9,152,D1,Y,City ,Y,
430,Y,12,25.5,93,3,25,:08,20.1,136,D3,Y,City ,Y,
431,Y,11,26.5,92,12,41,:18,12.7,124,D2,Y,City/Highway,Y,
432,Y,7.5,18.5,93,15,36,:26,36,121,D1,N,City/Highway,Y,
433,Y,6.5,19.5,84,29,55,:32,14,84,D1,N,City/Highway,Y,
434,Y,9.5,16,94,12,32,:22,11.1,74,D1,N,City ,Y,
435,Y,11.5,28,93,7,21,:22,13.4,67,D1,N,City ,Y,
436,Y,11,29.5,75,2,21,:07,10.5,102,0,N,City/Highway,Y,
437,Y,11,28.5,79,9,40,:13,12.6,94,0,N,City/Highway,Y,
438,Y,14.5,25.5,77,16,53,:18,14.1,210,D3,N,Highway,Y,
439,Y,14.5,24,79,5,30,:11,16.5,198,D2,N,City/Highway,Y,
440,Y,14,24.5,81,8,33,:15,11.1,199,0,N,City ,Y,
441,Y,12.5,19,78,4,25,:12,8.6,204,0,N,City ,Y,
442,Y,11.5,20.5,95,3,27,:08,19.2,189,D2,N,City ,Y,
443,Y,11,23,87,17,30,:34,11.9,178,0,N,City ,Y,
444,Y,7.5,18.5,96,14,33,:25,12.5,167,D2,N,City ,Y,
445,Y,11,10,95,8,25,:21,12.6,232,D1,N,City ,Y,
446,Y,11,33.5,93,7,27,:16,12.9,226,D2,N,City/Highway,Y,
447,Y,12,29.5,94,6,25,:15,10.7,225,D2,N,City ,Y,Window open
448,Y,13,30,95,4,28,:09,7.4,233,D2,N,City ,Y,
449,Y,12.5,27,96,3,22,:10,18.5,218,D2,N,City ,Y,
450,Y,11.5,29,88,6,33,:12,9.5,221,0,N,City ,Y,
451,Y,3,10.5,90,1,12,:08,16.4,215,0,N,City ,Y,
452,Y,13.5,29,92,5,33,:09,14.7,193,D3,Y,City/Highway,Y,
453,Y,13.5,29,94,4,29,:09,5.5,214,D3,N,City ,Y,
454,Y,14,23,94,4,27,:09,15.4,203,D3,N,City ,Y,
455,Y,14.5,34,73,8,49,:09,15.2,185,D3,N,Highway,Y,
456,Y,15,24,90,23,61,:23,14.5,145,D3,N,Highway,Y,
457,Y,1,13,74,14,61,:14,13.7,228,D3,N,Highway,Y,
458,Y,15,10,81,3,27,:07,16.4,220,D3,N,City/Highway,Y,Noticed sticker coming off the back window
459,Y,16,26.5,85,4,36,:07,13.6,216,D3,N,Highway,Y,
460,Y,16,33,81,4,37,:07,13.1,212,D3,N,Highway,Y,
461,Y,16.5,30,84,3,23,:08,16.8,205,D1,N,City/Highway,Y,
462,Y,18.5,39.5,88,0,9,:03,21.7,204,D1,N,City ,Y,
463,Y,18.5,35,87,2,31,:05,11.1,204,D1,N,Highway,Y,Message occurs that says air resistance close window when driving highway speeds
464,Y,21,26,86,3,11,:19,14.3,201,0,N,City ,Y,
465,Y,21,25.5,85,7,22,:21,13,187,0,Y,City ,Y,
466,Y,14.5,23.5,79,8,16,:33,14.2,180,0,Y,City ,Y,
467,Y,13.5,24,83,10,21,:38,13.2,173,0,Y,City ,Y,
468,Y,17,28,81,13,26,:31,12.5,166,0,Y,City/Highway,Y,
469,Y,15,25,85,7,26,:17,12.7,192,0,Y,City ,,
470,Y,11,20.5,84,7,30,:14,14,184,0,Y,City ,Y,
471,Y,20.5,27,74,11,40,:18,17.9,148,0,Y,City/Highway,N,
472,Y,22.5,30,73,24,38,:38,15.2,140,0,Y,City/Highway,Y,did not reset after last trip OOPS
473,Y,21,23.5,83,7,29,:16,12.5,143,0,Y,City ,Y,
474,Y,21,29,81,9,24,:26,13.3,130,0,Y,City ,Y,
475,Y,21.5,28,84,13,30,:27,12.7,110,0,Y,City ,Y,
476,Y,15.5,28.5,81,5,10,:36,11.1,166,0,Y,City ,Y,
477,Y,15.5,33.5,82,3,45,:12,45.5,159,0,Y,City ,Y,
478,Y,16.5,26,79,4,15,:18,17.1,152,0,Y,City ,Y,
479,Y,10.5,25,83,21,22,:57,12.8,127,0,Y,City ,Y,
480,Y,8,17.5,85,7,28,:16,13.3,182,0,Y,City ,Y,
481,Y,5.5,18,84,7,32,:14,15.2,165,0,Y,City ,Y,
482,Y,4.5,13,87,2,10,:16,19.1,160,0,Y,City ,Y,stop for phone call
483,Y,5,19,81,5,11,:26,18.7,154,0,Y,City ,Y,stop for phone call
484,Y,5,17,86,2,14,:11,17.2,149,0,Y,City ,Y,Brakes squeek in reverse
485,Y,5,19,86,6,21,:18,14,142,0,Y,City ,Y,
486,Y,-3.5,14,85,7,27,:17,19.6,143,0,Y,City ,Y,didn't appear to charge last night
487,Y,0.5,13.5,84,10,23,:27,21.5,159,0,Y,City ,Y,
488,Y,4,20,75,15,24,:37,20.2,127,0,Y,City ,Y,
489,Y,8,23,98,3,22,:10,15.4,136,D2,N,Highway,Y,
490,Y,6,18.5,75,20,56,:21,17.1,100,D2,N,Highway,Y,
491,Y,-3.5,14,76,17,58,:18,17.9,173,D2,Y,Highway,Y,
492,Y,4.5,21.5,72,8,56,:8,15.5,174,D2,Y,Highway,Y,
493,Y,5,21.5,70,24,65,:22,17.1,144,D2,Y,Highway,Y,
494,Y,-2.5,14,73,17,58,:18,16.9,179,D2,Y,Highway,Y,
495,Y,10.5,23.5,84,13,35,:23,14.1,180,D2,Y,City/Highway,Y,
496,Y,11,22.5,88,2,21,:06,12.1,181,0,Y,City ,Y,Next Trip - Chat News
497,Y,11.5,25,97,3,27,:07,16,151,0,Y,City ,Y,
498,Y,13,23.5,83,27,37,:44,15.5,117,0,Y,City ,Y,
499,Y,13.5,25.5,95,2,21,:08,11.5,111,0,Y,City ,Y,
500,Y,14.5,31,92,2,18,:08,14.5,108,0,Y,City ,Y,
501,Y,15.5,37.5,85,4,18,:16,13.5,109,0,Y,City ,Y,
502,Y,14.5,29,86,5,20,:15,11.5,120,0,Y,City ,Y,
503,Y,11.5,25,91,6,31,:11,17,110,0,Y,City ,Y,
504,Y,8,21,89,8,29,:18,13.5,97,0,Y,City ,Y,
505,Y,7,29.5,82,9,31,:18,15,95,0,Y,City ,Y,
506,Y,7.5,30.5,85,11,34,:19,11,80,0,Y,City ,Y,
507,Y,5,11.5,95,2,22,:07,19,75,0,Y,City ,Y,
508,Y,9.5,29,88,2,24,:06,14.5,72,0,Y,City ,Y,
509,Y,10.5,28.5,78,4,30,:09,15,65,0,Y,City ,Y,
510,Y,13,32.5,86,5,31,:11,10.5,206,0,Y,City ,Y,first trip after VW charge 6041
511,Y,9,16.5,83,2,20,:08,14.5,205,0,Y,City ,Y,
512,Y,12.5,26,91,37,32,1:11,12,185,0,Y,City ,Y,
513,Y,16,46,89,2,17,:08,14,183,0,Y,City ,Y,
514,Y,11.5,22.5,76,6,37,:10,15,169,0,Y,City ,Y,
515,Y,12,24,68,6,34,:11,12.5,163,0,Y,City ,Y,
516,Y,14,26,79,11,36,:19,13,151,0,Y,City ,Y,
517,Y,6.5,10,86,2,13,:07,13,148,0,Y,City ,Y,
518,Y,17.5,43,91,2,14,:07,14,173,0,Y,City ,Y,
519,Y,14,17,84,2,21,:07,13.5,177,0,Y,City ,Y,
520,Y,18.5,28.5,93,3,9,:26,16.5,169,0,Y,City ,Y,
521,Y,19,31.5,87,18,41,:27,14,143,D1,Y,City/Highway,Y,
522,Y,12,14.5,84,17,55,:19,11.5,242,D3,N,Highway,Y,
523,Y,18.5,30.5,97,4,22,:11,10,244,D3,N,City ,Y,
524,Y,21.5,42,94,3,23,:08,15.5,237,D3,N,City ,Y,
525,Y,22,39,69,9,53,:11,14.9,208,D3,Y,Highway,Y,
526,Y,22.5,37.5,89,7,50,:09,12.1,204,D2,Y,Highway,Y,charge
527,Y,17.5,24,79,17,54,:19,14.2,190,0,N,Highway,Y,
528,Y,15,18.5,78,17,54,:19,11.7,244,0,N,Highway,Y,
529,Y,19.5,23.5,81,11,49,:14,17.3,208,0,N,Highway,Y,
530,Y,20.5,40.5,90,7,46,:10,14.7,198,0,N,Highway,Y,
531,Y,7.5,10.5,77,17,54,:19,13.6,184,0,N,Highway,Y,
532,Y,11.5,19,81,4,26,:09,10.4,183,0,N,Highway,Y,
533,Y,13.5,23.5,76,1,26,:03,10.3,182,0,N,Highway,Y,
534,Y,13,24.5,91,3,27,:08,16.6,174,0,N,Highway,Y,
535,Y,14.5,28.5,90,5,20,:17,13.2,169,0,N,Highway,Y,
536,Y,17.5,30,92,3,24,:08,7,174,D2,N,Highway,Y,
537,Y,16,29,85,18,51,:22,14,150,D2,N,City/Highway,Y,charge
538,Y,7.5,18,86,19,51,:22,16.6,193,D2,N,City/Highway,Y,
539,Y,5,18,84,38,50,:45,16.7,166,0,N,City/Highway,Y,
540,Y,5,19.5,83,35,50,:43,15.4,131,D2,N,Highway,Y,charge
541,Y,8,10.5,80,17,52,:20,14,205,D3,N,Highway,Y,
542,Y,11,20.5,82,18,56,:19,14.3,188,D3,N,Highway,Y,charge
543,Y,4,8,80,17,56,:18,13.6,213,D1,N,Highway,Y,
544,Y,17.5,25.5,77,17,59,:17,14.8,193,0,N,Highway,Y,
545,Y,7,11,82,18,54,:21,12.9,183,D2,N,Highway,Y,
546,Y,13.5,26.5,76,11,55,:12,15.8,163,D2,N,Highway,Y,
547,Y,18,31.5,84,11,40,:17,10.6,166,D2,N,Highway,Y,
548,Y,21.5,35.5,69,17,67,:15,15.2,138,0,N,Highway,Y,
549,Y,22.5,34.5,74,17,54,:19,13.1,119,0,N,Highway,Y,
550,Y,23,35,76,17,49,:21,15.6,93,D2,N,Highway,Y,
551,Y,10,12,24,15,57,:16,13.9,221,D2,N,Highway,Y,
552,Y,8.5,13,95,1,26,:04,14.3,219,D2,N,City ,Y,
553,Y,9,16,93,7,22,:19,11.4,219,D2,N,City/Highway,Y,
554,Y,15,26,96,1,25,:04,0.9,227,D2,N,City ,Y,
555,Y,15,27,96,1,20,:05,22.5,218,D2,N,City ,Y,
556,Y,19.5,39.5,75,17,64,:16,18.1,190,D2,N,Highway,Y,
557,Y,7,11.5,83,17,56,:18,12.9,129,D1,N,Highway,Y,
558,Y,19,32,82,10,36,:17,12.8,172,D1,N,City/Highway,Y,
559,Y,18.5,29.4,93,3,31,:07,11.6,164,D2,Y,City ,Y,
560,Y,18,25.1,85,4,29,:19,10.2,171,D1,N,City ,Y,
561,Y,17.5,25.1,84,1,19,:04,11.6,170,D1,N,City ,Y,
562,Y,10.5,14.5,93,6,25,:15,11.4,167,D2,N,City ,Y,
563,Y,21,41.5,91,1,8,:08,13.5,165,0,N,City ,Y,
564,Y,21,31.5,93,3,17,:14,12.3,162,D2,N,City ,Y,
565,Y,24,44,81,6,27,:14,12.1,152,D1,N,City ,Y,
566,Y,25,30,93,2,18,:09,5.1,160,D3,N,City ,Y,
567,Y,25,29,79,4,26,:10,17.7,143,0,N,City ,Y,
568,Y,22.5,25,96,30,33,:56,9.6,191,D2,N,City ,Y,
569,Y,21.1,24.5,86,6,27,:15,14.6,176,0,N,City ,Y,
570,Y,29,36,96,6,27,:15,12.7,277,D3,Y,City ,Y,
571,Y,24,31,96,12,31,:24,11.3,271,0,Y,City ,Y,
572,Y,21.5,28,95,7,26,:17,11.9,261,D2,Y,City ,Y,
573,Y,12.5,16.5,94,6,30,:13,11.2,282,D1,N,City ,Y,
574,Y,18.5,33.5,83,6,27,:14,12.4,271,0,N,City ,Y,
575,Y,19,32,95,6,28,:13,10,271,D3,N,City ,Y,
576,Y,22,33,94,4,16,:17,8.3,273,D2,N,City ,Y,
577,Y,21.5,31.5,83,3,20,:09,20.9,252,0,Y,City ,Y,
578,Y,24,32.5,96,6,28,:14,11.8,228,D2,Y,City ,Y,
579,Y,25.5,37,87,2,12,:14,17.2,218,0,Y,City ,Y,
580,Y,26,31,94,8,29,:18,12.7,207,D1,Y,City ,Y,
581,Y,31,37.5,96,7,28,:17,13.4,237,D3,Y,City ,Y,
582,Y,32.5,39.5,79,0,9,:05,24.4,228,0,Y,City ,Y,
583,Y,32.5,33.5,70,11,40,:18,14,217,0,Y,City/Highway,Y,
584,Y,2.5,24,81,6,27,:14,11,267,0,Y,City ,Y,
585,Y,26,30.5,88,2,7,:21,15.8,261,0,N,City ,Y,
586,Y,28.5,37.5,93,7,22,:20,14.4,221,D1,y,City ,Y,
587,Y,30,33,94,6,24,:16,12.7,219,D2,Y,City ,Y,
588,Y,31.5,35,94,6,26,:15,16.3,140,D3,Y,City ,Y,
589,Y,14.5,20.3,94,6,23,:17,11,279,D2,N,City ,Y,
590,Y,21,45.5,84,6,31,:12,12.2,267,0,N,City ,Y,
591,Y,23.5,34.5,89,6,26,:14,12,265,0,N,City ,Y,
592,Y,27,38.5,84,1,20,:05,17.4,276,0,Y,City ,Y,
593,Y,26.5,32.5,83,5,27,:12,13.1,224,0,Y,City ,Y,
594,Y,13.5,19.5,95,6,23,:17,11,282,D2,N,City ,Y,
595,Y,21,39,80,7,20,:22,15.2,245,0,Y,City ,Y,
596,Y,23.5,32.5,82,6,25,:15,11.9,241,0,Y,City ,Y,
597,Y,27.5,42,96,4,22,:12,9.6,234,D1,Y,City ,Y,
598,Y,26.5,37.5,93,3,22,:08,20.7,214,D2,Y,City ,Y,
599,Y,20,27,86,18,40,:27,11,266,0,N,City ,Y,
600,Y,21,,86,3,26,:09,17.4,230,0,N,City ,Y,
601,Y,12.5,16,94,6,30,:13,11.6,268,D1,N,City ,Y,
602,Y,16.5,31,95,7,16,:29,14.1,236,D2,Y,City ,Y,
603,Y,18,28.5,94,6,24,:16,10,258,D3,Y,City ,Y,
604,Y,17,35.5,82,5,27,:11,8.5,255,0,Y,City ,Y,
605,Y,16,30.5,83,3,25,:07,21,228,0,Y,City ,Y,
606,Y,11.5,25.5,91,18,18,:60,16.6,234,D1,Y,City/Highway,Y,
607,Y,14.5,27.5,87,4,31,:09,13.8,265,0,N,City ,Y,
608,Y,16,25.5,88,5,32,:09,10.4,264,0,N,City ,Y,
609,Y,20,28,96,7,28,:17,10.9,264,D3,Y,City ,Y,
610,Y,20,27.5,84,11,44,:15,12.6,231,0,Y,City/Highway,Y,
611,Y,13,17,84,6,25,:16,11.2,269,0,N,City ,Y,
612,Y,21,39,84,7,26,:17,14.1,245,0,Y,City ,Y,
613,Y,23,31,95,6,26,:14,10.8,243,D2,Y,City ,Y,
614,Y,22.5,35,82,7,25,:18,13.6,246,0,Y,City ,Y,
615,Y,15,19.5,85,6,27,:14,10.1,252,0,N,City ,Y,
616,Y,21.5,36,95,7,26,:16,13.1,223,D2,Y,City ,Y,
617,Y,22,28.5,84,6,26,:15,10.6,221,0,Y,City ,Y,
618,Y,24.5,35,85,5,18,:19,11.6,208,0,Y,City ,Y,
619,Y,23.5,26.5,97,3,21,:04,20.4,194,D1,Y,City ,Y,
620,Y,18,21,98,6,23,:17,9.7,287,D2,N,City ,Y,
621,Y,25.5,33.5,83,10,17,:35,15.3,227,0,Y,City ,Y,
622,Y,26.5,31.5,86,6,28,:13,10.8,232,0,Y,City ,Y,
623,Y,29,39,82,7,16,:28,17.9,203,0,Y,City ,Y,
624,Y,18.5,22.5,97,6,23,:17,10,283,D3,N,City ,Y,
625,Y,29.5,42,79,8,20,:24,18.4,213,0,Y,City ,Y,
626,Y,30,37.5,81,7,25,:16,12.2,216,0,Y,City ,Y,
627,Y,23.5,36,82,7,22,:20,19.4,183,0,Y,City ,Y,
628,Y,18,22.5,96,6,24,:16,10.3,285,D1,N,City ,Y,
629,Y,21.5,33.5,94,7,27,:16,13.2,246,0,Y,City ,Y,
630,Y,19,28.5,82,6,28,:14,10.5,262,0,Y,City ,Y,
631,Y,20,36,85,4,30,:08,7,270,0,Y,City ,Y,
632,Y,19.5,31.5,85,3,22,:08,20.6,242,0,Y,City ,Y,
633,Y,24,32.5,94,6,40,:10,10.8,231,D2,Y,City/Highway,Y,
634,Y,23,27.5,94,5,36,:09,13.5,226,D1,Y,City/Highway,Y,
635,Y,23,29.5,84,3,21,:08,13.1,217,0,Y,City ,Y,
636,Y,22,26,79,13,38,:20,12.7,209,0,Y,City/Highway,Y,
637,Y,19.5,24,84,9,39,:13,12.5,258,0,Y,City/Highway,Y,
638,Y,20.5,37,83,7,33,:14,12.3,245,0,Y,City/Highway,Y,
639,Y,12.5,18,82,6,25,:15,11.1,255,0,N,City ,Y,
640,Y,24,40,81,4,27,:09,14.1,246,D2,N,Highway,Y,
641,,23,33.5,80,14,53,:16,16.6,197,D2,Y,Highway,Y,
642,,15.5,19.5,85,19,49,:24,11.5,245,D2,N,City/Highway,Y,
643,,19,30.5,65,34,63,:33,14.9,187,0,N,Highway,Y,includes long wait time
644,,17.5,27,79,17,60,:17,16.4,154,D2,N,Highway,Y,
645,,19,26.5,73,25,51,:30,12.5,142,D2,N,City/Highway,Y,
646,,18.5,28.5,82,0,5,:02,,140,0,N,City ,Y,couldn’t interpret
647,,16,27.5,98,1,18,:06,11.7,140,D2,N,City ,Y,
648,,13,26.5,81,21,44,:29,14.9,106,D2,N,City/Highway,Y,
649,,7.5,13,77,17,50,:20,12,228,0,N,Highway,Y,
650,,14,34.5,77,3,28,:07,14.4,223,0,N,Highway,Y,
651,,14.5,25,83,32,31,1:01,13.1,209,D2,N,City/Highway,Y,all brake modes were used
652,,18,39.5,81,17,26,:40,15.5,183,D2,N,Highway,Y,
653,,9,16.5,84,17,34,:31,12.5,176,D3,N,Highway,Y,includes chat with SMRID on roadside
654,,18.5,36,33,3,18,:11,13.3,173,D3,N,City/Highway,Y,includes dealing with site on shut down
655,,18.5,,86,3,17,:12,13.4,170,0,N,City/Highway,Y,surface not working properly
656,,18,27.5,85,6,16,:24,14.2,165,0,N,City ,Y,site driving
657,,17.5,,70,18,42,:27,17.2,122,0,Y,City/Highway,Y,
658,,16,,69,16,61,:16,12.8,116,0,Y,City/Highway,Y,
659,,15,19,86,3,27,:07,14.5,109,0,Y,City/Highway,Y,
660,,13.5,18.5,75,14,65,:13,17.5,79,0,N,Highway,Y,
661,,18,29.5,77,19,52,:22,13.5,205,0,N,Highway,Y,
662,,16,28.5,92,10,25,:26,10.9,212,D2,N,City/Highway,Y,
663,,19,23,83,3,29,:07,14.3,207,0,N,City/Highway,Y,
664,,21.5,25.5,77,20,41,:30,16.5,169,D2,N,City/Highway,Y,
665,,12.5,,76,17,54,:19,12.2,106,D2,N,Highway,Y,computer did updates so inside temp lost
666,,22,39,91,4,32,:07,12.9,164,D2,N,City/Highway,Y,car wash
