"","trip#","driver#","#occupants","pre-trip","date_trip","time_start","lighting","road_conditions","odometer","starting_outside_temp","starting_inside_temp","departure_trip","range_start","drive_mode","notes_start","post-trip","outside_temp_finish","inside_temp_finish","blue_score","distance","average_speed","time_finish","economy","range_finish","brakemode","climate_control","road","reset_distance","notes_finish","charge_location","date_charge","time","plugin_temp","unplug_temp","departure_charge","power_usage","cost","notes_charge"
"230",230,"1",1,"Y",2019-02-09,12:08:00,"Sunny","Clear",3354,-22.5,-2,"N",90,"N",NA,"Y",-24,16,80,14,55,":15",33.9,74,"D1","Y","Highway","Y",NA,"1home",2019-02-09,12:24:00,-24,-24.5,"Y",13.9,NA,NA
"231",231,"1",1,"Y",2019-02-11,06:48:00,"Dark","Partly covered",3368,-24.5,-24,"Y",101,"N",NA,"Y",-29.5,0,73,14,61,":13",31.2,90,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",232,"1",1,"Y",2019-02-11,07:35:00,"Dim","Partly covered",3382,-27.5,-4,"N",89,"N",NA,"Y",-27.5,5,84,3,27,":08",54.3,83,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",233,"1",1,"Y",2019-02-11,08:32:00,"Sunny","Partly covered",3386,-28,-12.5,"N",82,"N",NA,"Y",-26,4,97,3,25,":08",39.9,77,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",234,"1",1,"Y",2019-02-11,09:56:00,"Sunny","Partly covered",3390,-25.5,-7,"N",78,"N",NA,"Y",-24,3,94,3,21,":08",48.8,70,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",235,"1",1,"Y",2019-02-11,16:10:00,"Sunny","Partly covered",3393,-16,-8.5,"N",70,"N",NA,"Y",-22.5,18.5,73,19,60,":19",33.3,53,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",236,"1",1,"Y",2019-02-11,17:54:00,"Dim","Partly covered",3413,-22.5,-7,"N",47,"E","When started this trip it automatically started in eco mode","Y",-28,2,82,9,59,":09",24.8,43,"D1","Y","Highway","Y",NA,"1home",2019-02-11,18:04:00,-28,-25.5,"Y",14.2,NA,NA
"237",237,"1",1,"Y",2019-02-12,06:41:00,"Dark","Partly covered",3422,-25.5,-24,"Y",72,"N",NA,"Y",-26.5,5,81,17,50,":21",32,58,"D1","Y","Highway","Y",NA,"1college",2019-02-12,07:02:00,-26.5,-18,"N",7.9,NA,NA
"238",238,"1",1,"Y",2019-02-12,14:16:00,"Dim","Partly covered",3440,18,-14,"N",88,"N",NA,"Y",-19.5,7.5,91,9,45,":12",31.7,75,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",239,"1",1,"Y",2019-02-12,15:42:00,"Dim","Partly covered",3449,-19,-4,"N",70,"N",NA,"Y",-18.5,19,86,9,38,":15",34.9,59,"D1","Y","City/Highway","Y",NA,"1college",2019-02-12,15:59:00,-18.5,-18.5,"N",6.2,NA,NA
"240",240,"1",1,"Y",2019-02-12,21:37:00,"Dark","Partly covered",3459,-18.5,-23,"N",81,"N",NA,"Y",-20,8,80,17,53,":19",32.7,59,"D1","Y","Highway","Y",NA,"1home",2019-02-12,21:58:00,-20,-19.5,"Y",9.9,NA,NA
"241",241,"1",1,"Y",2019-02-13,06:43:00,"Dark","Partly covered",3476,-19.5,-14,"Y",79,"N",NA,"Y",-19,14,81,17,54,":19",29.7,64,"D1","Y","Highway","Y",NA,"1college",2019-02-13,07:03:00,-19,-17.5,"N",7.3,NA,NA
"242",242,"1",1,"Y",2019-02-13,13:49:00,"Dim","Partly covered",3493,-11.5,-5,"N",90,"N",NA,"Y",-17.5,11,92,4,29,":10",39.2,80,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",243,"1",1,"Y",2019-02-13,14:19:00,"Dim","Partly covered",3498,-16,10.5,"N",72,"N",NA,"Y",-18,14.5,81,4,37,":08",33.4,67,"D1","Y","City/Highway","Y","With temperatures this cold the level 1 charger is not keeping up unless plugged in at work",NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",244,"1",1,"Y",2019-02-13,15:49:00,"Dim","Partly covered",3503,-17,3.5,"N",74,"N",NA,"Y",-18,26,95,11,26,":26",37.7,57,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",245,"1",1,"Y",2019-02-13,18:25:00,"Dark","Partly covered",3515,-17.5,-8,"N",53,"N",NA,"Y",-24.5,11,70,18,63,":17",31.5,33,"D1","Y","Highway","Y","Went to eco mode at 52km range. I swithched it back to nomal mode","1home",2019-02-13,18:43:00,-24.5,-29.5,"Y",13.3,NA,NA
"246",246,"1",1,"Y",2019-02-14,06:47:00,"Dark","Partly covered",3533,-29.5,-26.5,"Y",58,"N",NA,"Y",-28.5,2,83,17,55,":19",30.3,47,"D1","Y","Highway","Y","Felt cool in the car this morning could be that the drive was -33.5 for most of the drive","1college",2019-02-14,07:05:00,-28.5,-28.5,"N",0.7,NA,NA
"247",247,"1",1,"Y",2019-02-14,07:49:00,"Sunny","Partly covered",3551,-28.5,-15,"N",53,"N",NA,"Y",-27,-1,93,3,27,":08",47.6,42,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",248,"1",1,"Y",2019-02-14,09:22:00,"Sunny","Partly covered",3554,-26.5,-9.5,"N",46,"N",NA,"Y",-26.5,-5.5,88,2,27,":05",42.6,40,"D1","Y","City","Y","I have been switching eco mode off when it switches back to nomal all the time now","1college",2019-02-14,09:29:00,-26.5,-26,"N",2.1,NA,NA
"249",249,"1",1,"Y",2019-02-14,11:23:00,"Sunny","Partly covered",3556,-26,-2.5,"N",57,"N",NA,"Y",-17.5,5.5,86,3,31,":06",42.6,42,"D1","Y","City","Y","Drastic change in the car displayed data during this trip???","3station",2019-02-14,11:30:00,-17.5,-16.5,"N",3.8,NA,"See power consumption report emailed from VW"
"250",250,"1",1,"Y",2019-02-14,11:53:00,"Sunny","Partly covered",3560,-16.5,4,"N",54,"N",NA,"Y",-17,16.5,95,3,23,":08",42,51,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",251,"1",1,"Y",2019-02-14,13:19:00,"Sunny","Partly covered",3563,-15,10,"N",54,"N",NA,"Y",-17,21,82,5,37,":08",34.2,46,"D1","Y","City/Highway","Y",NA,"1college",2019-02-14,13:29:00,-17,-15.5,"N",3,NA,NA
"252",252,"1",1,"Y",2019-02-14,16:14:00,"Dark","Partly covered",3568,-15.5,0.5,"N",57,"N",NA,"Y",-17,16,97,4,18,":16",46.2,42,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",253,"1",1,"Y",2019-02-14,16:39:00,"Dark","Partly covered",3573,-15,8,"N",42,"N",NA,"Y",-20,20,80,15,43,":21",29.9,28,"D1","Y","Highway","Y",NA,"1home",2019-02-14,16:56:00,-20,-23,"Y",15.3,NA,NA
"254",254,"1",1,"Y",2019-02-15,06:45:00,"Dark","Partly covered",3589,-23,-19,"Y",62,"N",NA,"Y",-22.5,13,87,17,59,":17",28,51,"D1","Y","Highway","Y",NA,"1college",2019-02-15,07:04:00,-22.5,-11,"Y",11.1,NA,NA
"255",255,"1",1,"Y",2019-02-15,17:11:00,"Dim","Snowy",3606,-11,-5.5,"Y",93,"N",NA,"Y",-15,7,90,17,46,":22",27.1,74,"D1","Y","Highway","Y",NA,"1home",2019-02-15,17:38:00,-15,-20.5,"N",17,NA,NA
"256",256,"1",1,"Y",2019-02-17,10:51:00,"Sunny","Snowy",3624,-20.5,-21,"N",106,"N",NA,"Y",-20,5,76,15,55,":16",30.9,92,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",257,"1",1,"Y",2019-02-17,12:29:00,"Sunny","Snowy",3639,-16,4.5,"N",101,"N",NA,"Y",-17.5,20.5,82,15,47,":19",34,73,"D1","Y","Highway","Y",NA,"1home",2019-02-17,12:53:00,-17.5,-17,"N",14.2,NA,NA
"258",258,"1",1,"Y",2019-02-19,06:41:00,"Dim","Partly covered",3654,-17,-26,"N",111,"N",NA,"Y",-16.5,9,85,17,56,":18",28.5,97,"D1","Y","Highway","Y",NA,"1college",2019-02-19,07:00:00,-16.5,-9.5,"Y",7.4,NA,NA
"259",259,"1",1,"Y",2019-02-19,17:20:00,"Sunny","Partly covered",3672,-9.5,2,"N",123,"N",NA,"Y",-12,16.5,81,17,54,":19",24.7,113,"D1","Y","Highway","Y",NA,"1home",2019-02-19,17:50:00,-12,-29.5,"N",6.8,NA,NA
"260",260,"1",1,"Y",2019-02-25,06:30:00,"Dark","Partly covered",3689,-29.5,-31.5,"N",104,"N",NA,"Y",-31.5,7,86,17,43,":24",35.4,85,"D1","Y","Highway","Y","Most of the trip the outside gauge -35","1college",2019-02-25,06:55:00,-31.5,-30.5,"N",0.1,NA,NA
"261",261,"1",1,"Y",2019-02-25,08:07:00,"Sunny","Partly covered",3706,-30.5,-13.5,"N",89,"N",NA,"Y",-30.5,-6,90,3,21,":10",47.6,80,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",262,"1",1,"Y",2019-02-25,09:17:00,"Sunny","Partly covered",3710,-30,-11,"N",80,"N",NA,"Y",-29,4.5,82,3,22,":09",55.3,71,"D1","Y","City","Y",NA,"1college",2019-02-25,09:28:00,-29,-28.5,"Y",7.4,NA,NA
"263",263,"1",1,"Y",2019-02-25,16:15:00,"Dim","Partly covered",3714,-19.5,-5,"Y",98,"N",NA,"Y",-23.5,19,83,20,34,":35",35.9,67,"D1","Y","City/Highway","Y",NA,"1home",2019-02-25,16:55:00,-23,-23.5,"Y",15.4,NA,NA
"264",264,"1",1,"Y",2019-02-26,06:51:00,"Dim","Snowy",3734,-23,-14.6,"Y",100,"N",NA,"Y",-23,5,78,17,50,":21",31.7,85,"D1","Y","Highway","Y",NA,"1college",2019-02-26,07:14:00,-23,-19.5,"Y",9.5,NA,NA
"265",265,"1",1,"Y",2019-02-26,16:18:00,"Sunny","Partly covered",3752,-19.5,-5.5,"Y",106,"N",NA,"Y",-21.5,15.5,84,17,41,":25",34,88,"D1","Y","Highway","Y",NA,"1home",2019-02-26,16:43:00,-21.5,-22.5,"Y",8.5,NA,NA
"266",266,"1",1,"Y",2019-02-27,06:35:00,"Dim","Partly covered",3769,-22.5,-12,"Y",107,"N",NA,"Y",-23.5,5,86,17,48,":22",30.1,92,"D1","Y","Highway","Y",NA,"1college",2019-02-27,06:59:00,-23.5,-9.5,"N",4.7,NA,NA
"267",267,"1",1,"Y",2019-02-27,14:40:00,"Sunny","Partly covered",3787,-9.5,6,"N",125,"N","Driving to install computer and sensors for the IT program","Y",-9.5,5,96,0,11,":03",45.1,122,"D1","Y","City","Y","From now on will be using the IT inside temp sensor and continue with Vehicle outside sensor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",268,"1",1,"Y",2019-02-27,16:23:00,"Sunny","Partly covered",3787,1.5,15.5,"N",126,"N","Was in the shop to install outside temp, inside temp and humidity and gps","Y",-13.5,19,84,17,38,":27",24.8,104,"D1","Y","Highway","Y","Outside temp- underhood by 12v battery, Inside temp and humidity grab handle above dr door","1home",2019-02-27,16:41:00,-13,-12.5,"Y",NA,NA,"Power glitch causing no recording of power consumption"
"269",269,"1",1,"Y",2019-02-28,06:58:00,"Dim","Clear",3805,-12.5,6,"Y",126,"N",NA,"Y",-14.5,11.5,82,17,58,":18",25,108,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",270,"1",1,"Y",2019-02-28,16:05:00,"Dim","Clear",3822,-5.5,11,"N",113,"N",NA,"Y",-8,17.5,78,17,55,":19",21.7,104,"D1","Y","Highway","Y",NA,"1home",2019-02-28,16:27:00,-8,-12,"Y",11.3,NA,NA
"271",271,"1",1,"Y",2019-03-01,06:45:00,"Dim","Clear",3840,-12,5,"Y",132,"N",NA,"Y",-14.5,12,84,17,46,":22",27.3,107,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",272,"1",1,"Y",2019-03-01,16:25:00,"Dim","Clear",3857,-15.5,-6,"N",100,"N",NA,"Y",-22.5,16.5,78,21,34,":38",38.3,60,"0","Y","City/Highway","Y","includes waiting in drive though","1home",2019-03-01,17:05:00,-22.5,-26.5,"Y",8.2,NA,NA
"273",273,"1",1,"Y",2019-03-04,06:50:00,"Dim","Clear",3879,-26.5,-20,"Y",103,"N",NA,"Y",-26.55,2.5,80,17,56,":18",30.2,90,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",274,"1",1,"Y",2019-03-04,08:28:00,"Sunny","Clear",3897,-26.5,-8,"N",90,"N",NA,"Y",-24.5,7,76,17,60,":17",33.6,67,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",275,"1",1,"Y",2019-03-04,09:10:00,"Sunny","Clear",3914,-24,2.5,"N",67,"N",NA,"Y",-23,13,78,17,63,":16",27.6,55,"D1","Y","Highway","Y",NA,"1college",2019-03-04,09:27:00,-23,-4,"N",6.3,NA,NA
"276",276,"1",1,"Y",2019-03-04,15:10:00,"Sunny","Clear",3931,-4,21,"N",88,"N",NA,"Y",-11,21,88,3,26,":07",25.2,81,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",277,"1",1,"Y",2019-03-04,16:37:00,"Sunny","Clear",3935,-10.5,3,"N",84,"N",NA,"Y",-14,14,79,14,53,":16",25.1,76,"D1","Y","Highway","Y",NA,"2home",2019-03-04,18:45:00,-13.5,NA,"N",4.8,NA,"Breaker blew to new charger (first charge)"
"278",278,"1",1,"Y",2019-03-05,06:38:00,"Dim","Clear",3949,-22.5,-22.5,"N",74,"N",NA,"Y",-21,6.5,80,17,48,":22",31.5,52,"D1","Y","Highway","Y",NA,"1college",2019-03-05,07:01:00,-21,-12,"N",0.5,NA,NA
"279",279,"1",1,"Y",2019-03-05,10:43:00,"Sunny","Clear",3967,-12.5,16,"N",59,"N",NA,"Y",-16,19,77,17,60,":17",26.2,41,"D1","Y","Highway","Y","Turned Eco mode off","2home",2019-03-05,11:15:00,-16,5,"N",21.8,NA,"plug in time?, the charger was being tested at this point. No problems with the charger, problems with internet devices (returned)"
"280",280,"1",1,"Y",2019-03-05,14:30:00,"Sunny","Clear",3984,5,29,"N",130,"N",NA,"Y",-11,24,71,17,52,":20",15.5,127,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",281,"1",1,"Y",2019-03-05,16:55:00,"Sunny","Clear",4001,-10.5,5,"N",128,"N",NA,"Y",-14.5,16,80,17,58,":18",22.9,109,"D1","Y","Highway","Y",NA,"2home",2019-03-05,17:14:00,-14.5,-18.5,"Y",12.5,NA,NA
"282",282,"1",1,"Y",2019-03-06,06:51:00,"Dim","Clear",4019,-18.5,8.5,"Y",130,"N","amazing warm inside, this is the first departure with the level 2 charger (Big difference, amazing)","Y",-24.5,14.5,78,17,59,":17",27.9,106,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",283,"1",1,"Y",2019-03-06,08:47:00,"Sunny","Clear",4036,-22,-1,"N",101,"N",NA,"Y",-21,7,95,3,30,":07",34.1,95,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",284,"1",1,"Y",2019-03-06,09:53:00,"Sunny","Clear",4040,-20.5,-1,"N",95,"N",NA,"Y",-20,9,81,3,23,":09",46.7,84,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",285,"1",1,"Y",2019-03-06,14:46:00,"Sunny","Clear",4043,-7.5,25,"N",104,"N",NA,"Y",-14.5,24,70,17,59,":17",22.2,89,"D1","Y","Highway","Y",NA,"2home",2019-03-06,15:03:00,-14.5,-14,"N",4.1,NA,NA
"286",286,"1",1,"Y",2019-03-06,15:40:00,"Sunny","Clear",4061,-14,16.5,"N",99,"N",NA,"Y",-13.5,18.5,76,14,61,":14",19,96,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",287,"1",1,"Y",2019-03-06,16:12:00,"Sunny","Clear",4075,-13.5,13.5,"N",96,"N",NA,"Y",-14,16.5,86,4,30,":08",23.3,92,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",288,"1",1,"Y",2019-03-06,16:39:00,"Dim","Clear",4080,-12.5,12,"N",91,"N",NA,"Y",-13.5,16,84,5,29,":10",27.7,83,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",289,"1",1,"Y",2019-03-06,17:40:00,"Dim","Clear",4085,-12.45,6,"N",81,"N",NA,"Y",-13,8,91,1,18,":05",45.7,76,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",290,"1",1,"Y",2019-03-06,18:23:00,"Dim","Clear",4086,-13,4,"N",75,"N",NA,"Y",-16,15,74,18,63,":17",24.8,52,"D1","Y","Highway","Y",NA,"2home",2019-03-06,18:41:00,-16,-18,"N",23.1,NA,NA
"291",291,"1",1,"Y",2019-03-07,06:30:00,"Dim","Clear",4105,-18,-6,"Y",126,"N","Left before departure was done","Y",-16.5,12,83,17,55,":18",25.7,111,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",292,"1",1,"Y",2019-03-07,07:36:00,"Dim","Clear",4122,-15,-2.5,"N",115,"N",NA,"Y",-16,2,77,2,39,":04",34.7,108,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",293,"1",1,"Y",2019-03-07,07:52:00,"Dim","Clear",4125,5,4,"N",107,"N","Inside carwash (leaving)","Y",-6.5,5,79,0,6,":04",94.8,105,"0","Y","City","Y","Dropped car off for decals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",294,"1",1,"Y",2019-03-08,20:21:00,"Dark","Clear",4126,-5,0.5,"N",116,"N",NA,"Y",-9.5,14,69,14,59,":14",25,100,"D1","Y","Highway","Y","Picked car up from decal install (unknown Drive cycle inbetween last and this trip)","2home",2019-03-08,20:38:00,-9.5,-7,"N",10.7,NA,NA
"295",295,"1",1,"Y",2019-03-11,06:34:00,"Dark","Clear",4140,-7,-7.5,"N",137,"N","Left before departure started","Y",-4.5,13.5,82,17,47,":22",20.9,131,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",296,"1",1,"Y",2019-03-11,08:48:00,"Dim","Clear",4158,-3.5,0,"N",133,"N",NA,"Y",-2,11.5,90,6,29,":13",23.5,125,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",297,"1",1,"Y",2019-03-11,17:14:00,"Sunny","Clear",4164,4,15,"N",128,"N",NA,"Y",2,21,78,17,57,":18",20.4,114,"D1","Y","Highway","Y",NA,"2home",2019-03-11,17:33:00,2,1,"N",10.5,NA,NA
"298",298,"1",1,"Y",2019-03-12,06:23:00,"Dark","Clear",4182,1,1,"N",158,"N",NA,"Y",1,15,77,17,58,":18",15.7,159,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",299,"1",1,"Y",2019-03-12,07:29:00,"Dim","Clear",4199,1,6.5,"N",159,"N",NA,"Y",1,13,92,4,26,":09",19.4,154,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",300,"1",2,"Y",2019-03-12,08:56:00,"Dim","Clear",4204,1,6,"N",154,"N","2 passengers not for the whole trip","Y",1,19.5,74,19,41,":27",17.5,143,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",301,"1",2,"Y",2019-03-12,09:44:00,"Dim","Clear",4223,2.5,14,"N",143,"N","2 passengers not for the whole trip","Y",3,21,88,17,40,":25",15,137,"D1","Y","City/Highway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",302,"1",1,"Y",2019-03-12,10:16:00,"Dim","Clear",4240,3,198,"N",137,"N",NA,"Y",2.5,20,89,21,35,":37",15.2,135,"D1","Y","City/Highway","Y","Trip was not reset so this is combined data from the last trip",NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",303,"1",1,"Y",2019-03-12,16:29:00,"Dim","Clear",4244,6,17.5,"N",138,"N",NA,"Y",2.5,19.5,89,3,27,":07",18.1,133,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",304,"1",1,"Y",2019-03-12,17:06:00,"Sunny","Clear",4247,3.5,17,"N",131,"N",NA,"Y",1,21,79,14,56,":15",17.8,113,"D1","Y","Highway","Y",NA,"2home",2019-03-12,17:22:00,1,-3.5,"Y",16.4,NA,NA
"305",305,"1",1,"Y",2019-03-13,06:55:00,"Dark","Clear",4262,-3.5,16,"Y",187,"N",NA,"Y",-2,18,79,19,56,":21",15.6,177,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",306,"1",1,"Y",2019-03-13,07:35:00,"Dim","Clear",4282,-2,11.5,"N",179,"N",NA,"Y",-2,14,89,1,14,":05",25.4,175,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",307,"1",1,"Y",2019-03-13,07:59:00,"Sunny","Clear",4283,-2.5,10.5,"N",174,"N",NA,"Y",-2.5,14,90,3,28,":07",18.8,169,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",308,"1",1,"Y",2019-03-13,08:13:00,"Sunny","Clear",4286,-2.5,13,"N",169,"N",NA,"Y",-3,14,97,1,15,":04",22.9,167,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",309,"1",1,"Y",2019-03-13,08:24:00,"Dim","Clear",4287,-2.5,13.5,"N",167,"N",NA,"Y",-3.5,18.5,90,3,14,":15",24.6,159,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",310,"1",1,"Y",2019-03-13,09:14:00,"Dim","Clear",4291,-2,10.5,"N",159,"N",NA,"Y",-2,11,99,0,11,":02",37.9,157,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",311,"1",1,"Y",2019-03-13,13:57:00,"Sunny","Clear",4291,6.5,27.5,"N",164,"N",NA,"Y",2,26,87,4,29,":09",12.5,165,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",312,"1",1,"Y",2019-03-13,14:20:00,"Sunny","Clear",4296,3,26,"N",162,"N",NA,"Y",2,15.5,85,3,24,":09",19.2,168,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",313,"1",1,"Y",2019-03-13,16:08:00,"Sunny","Clear",4300,6.5,24.5,"N",168,"N",NA,"Y",3,20.5,93,3,20,":09",11,168,"D1","N","City","Y","windows down",NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",314,"1",1,"Y",2019-03-13,17:02:00,"Sunny","Clear",4303,3,14.5,"N",169,"N",NA,"Y",2.5,16,86,2,23,":07",24.9,158,"D1","N","City","Y","windows down",NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",315,"1",1,"Y",2019-03-13,17:38:00,"Sunny","Clear",4306,2.5,12,"N",158,"N",NA,"Y",0,17.5,77,19,54,":22",17.8,149,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",316,"1",1,"Y",2019-03-13,06:50:00,"Dark","Clear",4326,-11.5,13,"Y",168,"N",NA,"Y",-9.5,16,77,17,61,":17",18.3,156,"D1","N","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",317,"1",1,"Y",2019-03-13,12:52:00,"Sunny","Clear",4343,0.5,29.5,"N",170,"N",NA,"Y",-1.5,29,95,2,24,":05",18.3,180,"D1","N","City","Y",NA,"2home",2019-03-13,22:02:00,0,-11.5,"Y",14.9,NA,NA
"318",318,"1",2,"Y",2019-03-15,22:25:00,"Dark","Clear",4345,0,0,"N",180,"N",NA,"Y",0,8,84,5,33,":09",23.1,152,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",319,"1",1,"Y",2019-03-16,14:49:00,"Sunny","Clear",4350,5,27.5,"Y",154,"N",NA,"Y",4,26,82,19,50,":23",17.6,138,"D1","Y","City","Y",NA,"2home",2019-03-16,15:39:00,6,0,"Y",10.8,NA,NA
"320",320,"1",2,"Y",2019-03-18,06:45:00,"Dim","Clear",4370,0,13,"N",184,"N",NA,"Y",-1.5,19,81,23,52,":26",16.3,171,"D1","Y","Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",321,"1",1,"Y",2019-03-18,08:47:00,"Sunny","Clear",4393,-1,7,"N",171,"N",NA,"Y",0.5,15,87,4,26,":10",21.9,160,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",322,"1",1,"Y",2019-03-18,10:06:00,"Sunny","Clear",4398,1.5,11.5,"N",162,"N",NA,"Y",2.5,17.5,90,4,26,":10",17,160,"D1","Y","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",323,"1",2,"Y",2019-03-18,12:55:00,"Sunny","Clear",4402,12.5,36.5,"N",165,"N",NA,"Y",9,19,87,16,31,":31",13.4,164,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",324,"1",1,"Y",2019-03-18,13:31:00,"Sunny","Clear",4418,10.5,22,"N",165,"N",NA,"Y",8,21.5,86,4,34,":07",12.8,163,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,"1",1,"Y",2019-03-18,15:47:00,"Sunny","Clear",4423,16,34,"N",164,"N",NA,"Y",9.5,23,92,4,30,":09",10.9,165,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",326,"1",2,"Y",2019-03-18,16:05:00,"Sunny","Clear",4427,9.5,24.5,"N",165,"N",NA,"Y",9.5,26.5,86,2,13,":13",12.1,165,"D1","N","City","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",327,"1",2,"Y",2019-03-18,16:39:00,"Sunny","Clear",4430,9.5,23.5,"N",165,"N",NA,"Y",7.5,26,83,25,39,":38",16.2,127,"D1","N","City/Highway","Y",NA,"2home",2019-03-18,17:23:00,7.5,-1,"Y",16.3,NA,NA
"328",328,"1",1,"Y",2019-03-19,06:52:00,"Dim","Clear",4455,-1,15.5,"Y",199,"N",NA,"Y",-0.5,18,76,14,61,":14",15.3,191,"D1","Y","Highway","Y","car wash",NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",329,"1",1,"Y",2019-03-19,07:13:00,"Dim","Clear",4470,12.5,15.5,"N",193,"N","Inside carwash (leaving)","Y",-1,18.5,78,5,40,":07",20.3,180,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",330,"1",1,"Y",2019-03-19,07:30:00,"Dim","Clear",4475,0,15.5,"N",179,"N",NA,"Y",-1,17,91,3,35,":06",14.5,178,"D1","Y","City/Highway","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
